state,county,total_votes,dem_votes,rep_votes,other_votes,dem_share,east_west
SD,Hanson County,2431,961,1426,44,40.26,west
MN,Fillmore County,11234,5921,4993,320,54.25,west
MN,Jackson County,5623,2618,2858,147,47.81,west
MN,Faribault County,8152,3736,4196,220,47.10,west
SD,Minnehaha County,80552,39838,39251,1463,50.37,west
MN,Martin County,10754,4413,6053,288,42.17,west
SD,McCook County,2945,1219,1646,80,42.55,west
MI,Midland County,43707,20701,22263,743,48.18,east
MI,Oceana County,12509,6405,5860,244,52.22,east
MI,Isabella County,28350,16679,11220,451,59.78,east
ME,York County,109161,64799,42389,1973,60.45,east
MI,Mecosta County,18664,9101,9238,325,49.62,east
MI,Newaygo County,23105,10790,11862,453,47.63,east
NY,Washington County,25730,12741,12533,456,50.41,east
ID,Ada County,179402,82236,93328,3838,46.84,west
NY,Warren County,32245,16281,15429,535,51.34,east
SD,Tripp County,2839,914,1859,66,32.96,west
NH,Belknap County,33465,16796,16402,267,50.59,east
MI,Tuscola County,27798,13503,13740,555,49.57,east
WI,Vernon County,14075,8463,5367,245,61.19,east
NY,Oswego County,49349,24777,23571,1001,51.25,east
SD,Shannon County,3350,2971,331,48,89.98,west
MI,Sanilac County,20169,9047,10679,443,45.86,east
ID,Owyhee County,4058,944,3024,90,23.79,west
WI,Columbia County,29272,16661,12193,418,57.75,east
WI,Sauk County,30626,18167,11562,447,61.69,east
WI,Dodge County,42823,19183,23015,625,45.46,east
ID,Bonneville County,41703,11417,29334,952,28.02,west
ID,Bingham County,17155,4424,12230,501,26.57,west
OR,Klamath County,29399,9370,19113,916,32.90,west
OR,Lake County,3688,957,2638,93,26.62,west
NY,Oneida County,94365,43506,49256,1603,46.90,east
NH,Merrimack County,79719,45078,34010,631,57.00,east
OR,Coos County,30951,14401,15354,1196,48.40,west
NH,Sullivan County,22614,13249,9169,196,59.10,east
NH,Strafford County,63549,37990,25021,538,60.29,east
MI,Saginaw County,104090,60276,42225,1589,58.80,east
WI,Richland County,8450,5041,3298,111,60.45,east
WI,Ozaukee County,53365,20579,32172,614,39.01,east
WI,Washington County,74411,25719,47729,963,35.02,east
IA,Winnebago County,6082,3254,2730,98,54.38,west
IA,Kossuth County,9097,4625,4329,143,51.65,west
IA,Dickinson County,9906,4625,5162,119,47.26,west
IA,Emmet County,5015,2570,2373,72,51.99,west
IA,Worth County,4257,2567,1612,78,61.42,west
IA,Osceola County,3127,1037,2027,63,33.84,west
WY,Niobrara County,1293,244,1017,32,19.35,west
IA,Mitchell County,5766,3179,2469,118,56.28,west
IA,Lyon County,6217,1675,4471,71,27.25,west
IA,Howard County,4728,2941,1722,65,63.07,west
IA,Allamakee County,7059,3971,2965,123,57.25,west
IA,Winneshiek County,11280,6829,4273,178,61.51,west
SD,Lincoln County,20767,8642,11803,322,42.27,west
WY,Converse County,6451,1380,4922,149,21.90,west
SD,Charles Mix County,3978,1807,2109,62,46.14,west
SD,Turner County,4352,1681,2538,133,39.85,west
SD,Hutchinson County,3608,1242,2285,81,35.21,west
WY,Natrona County,33267,10475,21906,886,32.35,west
SD,Douglas County,1756,424,1293,39,24.70,west
SD,Gregory County,2247,771,1423,53,35.14,west
SD,Fall River County,3809,1338,2348,123,36.30,west
MI,Muskegon County,84271,53821,29145,1305,64.88,east
MI,Montcalm County,27051,13208,13291,552,49.85,east
WY,Sublette County,4356,936,3316,104,22.02,west
MI,Gratiot County,17738,9105,8322,311,52.24,east
WI,Crawford County,7981,4987,2830,164,63.80,east
NY,Cayuga County,34022,18128,15243,651,54.32,east
NY,Saratoga County,111387,56645,52855,1887,51.73,east
SD,Bennett County,1208,557,614,37,47.57,west
SD,Todd County,2828,2208,571,49,79.45,west
NY,Orleans County,16584,6614,9708,262,40.52,east
NY,Niagara County,95272,47303,46348,1621,50.51,east
NY,Monroe County,356424,207371,144262,4791,58.98,east
NY,Wayne County,41045,18184,22239,622,44.98,east
MI,Lapeer County,45362,21457,22831,1074,48.45,east
WY,Lincoln County,8568,1823,6485,260,21.94,west
VT,Bennington County,19129,12524,6133,472,67.13,east
WI,Dane County,282939,205984,73065,3890,73.82,east
MI,Kent County,303235,149909,148336,4990,50.26,east
NY,Fulton County,21824,9695,11709,420,45.29,east
NH,Rockingham County,167093,83723,81917,1453,50.55,east
NY,Onondaga County,218239,129317,84972,3950,60.34,east
VT,Windham County,24081,17585,5997,499,74.57,east
IA,Sioux County,16664,3030,13490,144,18.34,west
IA,O'Brien County,7333,2338,4894,101,32.33,west
IA,Cerro Gordo County,24140,14405,9375,360,60.57,west
IA,Hancock County,5930,2805,3016,109,48.19,west
IA,Palo Alto County,4806,2428,2294,84,51.42,west
IA,Clay County,8398,3925,4355,118,47.40,west
MI,Genesee County,219896,143927,72451,3518,66.51,east
IA,Chickasaw County,6583,3923,2557,103,60.54,west
IA,Floyd County,8091,4822,3051,218,61.25,west
WI,Iowa County,11969,7987,3829,153,67.60,east
WI,Grant County,24320,14875,9068,377,62.12,east
NH,Hillsborough County,203799,104820,97178,1801,51.89,east
MI,Ottawa County,136268,50828,83330,2110,37.89,east
ID,Lincoln County,1870,545,1232,93,30.67,west
ID,Gooding County,5391,1489,3765,137,28.34,west
WI,Jefferson County,43166,21448,21096,622,50.42,east
ID,Minidoka County,6890,1630,5087,173,24.27,west
WI,Waukesha County,232897,85339,145152,2406,37.03,east
WI,Milwaukee County,475192,319819,149445,5928,68.15,east
NY,Madison County,29802,14692,14434,676,50.45,east
NH,Cheshire County,42601,26971,15205,425,63.95,east
SD,Yankton County,10134,4838,5039,257,48.98,west
MI,Saint Clair County,80900,40677,38536,1687,51.35,east
SD,Bon Homme County,3175,1367,1712,96,44.40,west
MI,Shiawassee County,36415,19397,16268,750,54.39,east
NY,Genesee County,26873,10762,15705,406,40.66,east
MI,Ionia County,27319,12565,14156,598,47.02,east
MI,Clinton County,40381,20005,19726,650,50.35,east
ID,Power County,2842,1027,1754,61,36.93,west
NY,Erie County,441985,256299,178815,6871,58.90,east
SD,Union County,7701,3244,4310,147,42.94,west
SD,Clay County,6242,3808,2296,138,62.39,west
IA,Fayette County,10259,5908,4205,146,58.42,west
IA,Clayton County,8989,5195,3651,143,58.72,west
NY,Montgomery County,20175,9080,10711,384,45.88,east
NY,Ontario County,51020,25103,25171,746,49.93,east
ID,Bannock County,35105,14792,19356,957,43.32,west
ID,Caribou County,3302,553,2656,93,17.23,west
NY,Seneca County,14741,7422,7038,281,51.33,east
NE,Sioux County,732,117,603,12,16.25,west
NE,Sheridan County,2462,454,1941,67,18.96,west
NE,Dawes County,3775,1285,2376,114,35.10,west
NE,Boyd County,1110,250,839,21,22.95,west
NE,Keya Paha County,533,115,409,9,21.95,west
NE,Cherry County,3059,599,2360,100,20.24,west
OR,Jackson County,101047,49090,49043,2914,50.03,west
NY,Livingston County,30149,13655,16030,464,46.00,east
NY,Rensselaer County,73986,39753,32840,1393,54.76,east
NY,Schenectady County,69842,38611,29758,1473,56.47,east
OR,Curry County,12332,5230,6646,456,44.04,west
ID,Twin Falls County,28344,8621,19032,691,31.18,west
IA,Plymouth County,12512,4629,7765,118,37.35,west
IA,Buena Vista County,8418,4075,4223,120,49.11,west
IA,Cherokee County,6365,2890,3372,103,46.15,west
IA,Pocahontas County,4011,1800,2138,73,45.71,west
IA,Wright County,6395,3102,3198,95,49.24,west
IA,Humboldt County,5122,2160,2895,67,42.73,west
IA,Franklin County,5148,2575,2501,72,50.73,west
IA,Butler County,7166,3364,3700,102,47.62,west
IA,Bremer County,12871,6940,5741,190,54.73,west
NY,Otsego County,26121,13570,12026,525,53.02,east
NE,Holt County,4974,1089,3746,139,22.52,west
MI,Macomb County,419216,223784,187663,7769,54.39,east
MI,Oakland County,659068,372566,276956,9546,57.36,east
MA,Essex County,353462,208976,137129,7357,60.38,east
NE,Knox County,4084,1255,2728,101,31.51,west
NE,Cedar County,4174,1190,2912,72,29.01,west
NY,Wyoming County,17667,6379,10998,290,36.71,east
WI,Green County,18534,11502,6730,302,63.09,east
ID,Jerome County,6847,1794,4897,156,26.81,west
WI,Rock County,79169,50529,27364,1276,64.87,east
NE,Brown County,1567,311,1208,48,20.48,west
WI,Walworth County,50422,24177,25485,760,48.69,east
WI,Racine County,100642,53408,45954,1280,53.75,east
NY,Schoharie County,14402,6009,8071,322,42.68,east
NY,Albany County,147266,93937,50586,2743,65.00,east
WI,Lafayette County,7831,4732,2984,115,61.33,east
NE,Rock County,801,139,640,22,17.84,west
NY,Cortland County,21920,11861,9678,381,55.07,east
OR,Josephine County,42049,17412,22973,1664,43.12,west
MI,Livingston County,99638,42349,55592,1697,43.24,east
MI,Ingham County,142729,93994,46483,2252,66.91,east
MI,Eaton County,57616,30742,25900,974,54.28,east
MI,Barry County,30565,13449,16431,685,45.01,east
MI,Allegan County,55279,24165,30061,1053,44.56,east
NY,Yates County,10280,4890,5269,121,48.14,east
NE,Dixon County,2794,946,1785,63,34.64,west
MA,Berkshire County,66130,49558,14876,1696,76.91,east
NY,Chenango County,20847,10100,10337,410,49.42,east
MA,Franklin County,38529,27919,9545,1065,74.52,east
MA,Middlesex County,726031,464484,245766,15781,65.40,east
MA,Worcester County,363594,202107,152101,9386,57.06,east
ID,Cassia County,7842,1332,6309,201,17.44,west
IA,Dubuque County,47953,28611,18651,691,60.54,west
WI,Kenosha County,78789,45836,31609,1344,59.19,east
IA,Delaware County,8901,4649,4113,139,53.06,west
IA,Webster County,18554,9917,8337,300,54.33,west
IA,Buchanan County,10338,6050,4139,149,59.38,west
IA,Black Hawk County,64775,39184,24662,929,61.37,west
NY,Tompkins County,42552,29826,11927,799,71.43,east
WY,Goshen County,5912,1832,3942,138,31.73,west
WY,Platte County,4560,1407,3002,151,31.92,west
ID,Bear Lake County,2943,502,2377,64,17.44,west
NY,Steuben County,41911,17148,24203,560,41.47,east
NY,Chautauqua County,58802,29129,28579,1094,50.48,east
IA,Woodbury County,44801,21983,22219,599,49.74,west
IA,Sac County,5053,2256,2705,92,45.48,west
IA,Ida County,3547,1454,2036,57,41.66,west
IA,Calhoun County,5195,2341,2741,113,46.06,west
IA,Hamilton County,8078,4018,3913,147,50.66,west
IA,Hardin County,8859,4393,4315,151,50.45,west
IA,Grundy County,6828,2790,3945,93,41.42,west
MA,Hampshire County,79570,56869,20618,2083,73.39,east
NY,Schuyler County,8600,3933,4542,125,46.41,east
NY,Cattaraugus County,32617,14307,17770,540,44.60,east
NE,Dakota County,6396,2994,3292,110,47.63,west
NY,Allegany County,18406,7016,11013,377,38.92,east
NY,Delaware County,20389,9462,10524,403,47.34,east
IL,Jo Daviess County,11750,6403,5170,177,55.33,east
NY,Columbia County,31433,17556,13337,540,56.83,east
IL,Stephenson County,21605,11349,9909,347,53.39,east
IL,Winnebago County,126031,70034,53886,2111,56.51,east
ID,Oneida County,2162,381,1724,57,18.10,west
IL,McHenry County,139268,72288,64845,2135,52.72,east
IL,Boone County,22157,11333,10403,421,52.14,east
IL,Lake County,299105,177242,118545,3318,59.93,east
NY,Greene County,22335,9850,12059,426,44.96,east
MI,Wayne County,890326,660085,219582,10659,75.04,east
MA,Suffolk County,269221,207127,57194,4900,78.37,east
NE,Pierce County,3226,783,2385,58,24.71,west
NE,Box Butte County,4979,1886,2932,161,39.14,west
NE,Antelope County,3185,757,2383,45,24.11,west
MI,Washtenaw County,187115,130578,53946,2591,70.76,east
WY,Carbon County,6854,2336,4331,187,35.04,west
WY,Albany County,17117,8644,7936,537,52.14,west
ID,Franklin County,5073,600,4246,227,12.38,west
MI,Jackson County,74503,37480,35692,1331,51.22,east
MI,Calhoun County,64196,34561,28553,1082,54.76,east
MI,Van Buren County,34766,18588,15534,644,54.48,east
MI,Kalamazoo County,130781,77051,51554,2176,59.91,east
NY,Broome County,88837,47204,40077,1556,54.09,east
NY,Tioga County,23131,10172,12536,423,44.80,east
IA,Jackson County,9955,6102,3673,180,62.42,west
NE,Wayne County,3808,1249,2503,56,33.29,west
MA,Norfolk County,344916,200675,136841,7400,59.46,east
MA,Hampden County,197720,121454,71350,4916,62.99,east
MA,Plymouth County,249817,131817,112904,5096,53.87,east
IA,Benton County,13712,7058,6447,207,52.26,west
IA,Linn County,113355,68037,43626,1692,60.93,west
IA,Tama County,8850,4899,3820,131,56.19,west
IA,Jones County,10004,5446,4405,153,55.29,west
NY,Chemung County,38695,18888,19364,443,49.38,east
NE,Thurston County,2126,1120,972,34,53.54,west
WY,Sweetwater County,16703,5762,10360,581,35.74,west
PA,Erie County,127691,75775,50351,1565,60.08,east
MI,Berrien County,77666,40381,36130,1155,52.78,east
IA,Monona County,4796,2295,2411,90,48.77,west
IA,Marshall County,18657,10023,8278,356,54.77,west
IA,Carroll County,10387,5302,4922,163,51.85,west
IA,Crawford County,7191,3715,3345,131,52.62,west
IA,Boone County,13929,7356,6293,280,53.89,west
IA,Greene County,4804,2371,2349,84,50.23,west
IA,Story County,46575,26548,18995,1032,58.29,west
IL,Ogle County,24850,11253,13144,453,46.12,east
IL,Carroll County,7674,3965,3596,113,52.44,east
NY,Ulster County,89149,54320,33300,1529,62.00,east
IL,Cook County,2137466,1629024,487736,20706,76.96,east
IL,DeKalb County,44818,25784,18266,768,58.53,east
IL,Kane County,193299,106756,83963,2580,55.97,east
NE,Grant County,367,41,318,8,11.42,west
MA,Bristol County,243120,146861,90531,5728,61.86,east
MI,Monroe County,76422,39180,35858,1384,52.22,east
NE,Hooker County,438,75,355,8,17.44,west
NE,Cuming County,4087,1274,2732,81,31.80,west
NE,Madison County,14045,4142,9655,248,30.02,west
NE,Stanton County,2495,664,1781,50,27.16,west
NE,Thomas County,390,51,331,8,13.35,west
NE,Wheeler County,440,96,334,10,22.33,west
NE,Blaine County,316,43,266,7,13.92,west
NE,Loup County,393,86,302,5,22.16,west
NE,Garfield County,1030,212,800,18,20.95,west
MI,Lenawee County,47734,24640,22225,869,52.58,east
NY,Dutchess County,132302,71060,59628,1614,54.37,east
MA,Barnstable County,132270,74264,55694,2312,57.14,east
MI,Branch County,18285,8413,9534,338,46.88,east
MI,Hillsdale County,20449,8765,11221,463,43.86,east
MI,Saint Joseph County,25702,12322,12886,494,48.88,east
MI,Cass County,23576,12083,11114,379,52.09,east
CT,Litchfield County,98966,51041,46173,1752,52.49,east
NE,Burt County,3387,1413,1907,67,42.56,west
CT,Hartford County,412728,268721,138984,5023,65.89,east
CT,Tolland County,75501,45053,29266,1182,60.61,east
IA,Clinton County,24719,15018,9324,377,61.69,west
CT,Windham County,50844,28673,21210,961,57.49,east
RI,Providence County,252553,167704,80748,4101,67.50,east
NY,Sullivan County,31183,16850,13900,433,54.80,east
CA,Siskiyou County,21470,9292,11520,658,44.64,west
NE,Garden County,1138,283,844,11,25.11,west
NE,Morrill County,2351,557,1725,69,24.41,west
UT,Cache County,41332,10294,29127,1911,26.12,west
NE,Scotts Bluff County,14730,4745,9708,277,32.83,west
UT,Rich County,1006,154,831,21,15.64,west
PA,Bradford County,25787,10306,15057,424,40.64,east
PA,Tioga County,17984,6390,11326,268,36.07,east
UT,Box Elder County,19058,3311,15228,519,17.86,west
NV,Humboldt County,5599,1909,3586,104,34.76,west
NV,Elko County,15887,4541,10969,377,29.30,west
PA,McKean County,15947,6465,9224,258,41.21,east
PA,Potter County,7507,2300,5109,98,31.04,east
CA,Del Norte County,9531,4323,4967,241,46.56,west
PA,Wayne County,22835,9892,12702,241,43.78,east
PA,Susquehanna County,19286,8381,10633,272,44.08,east
PA,Warren County,18517,8537,9685,295,46.85,east
CA,Modoc County,4420,1313,2981,126,30.59,west
NV,Washoe County,179175,99671,76880,2624,56.45,west
IL,DuPage County,417973,228698,183626,5649,55.47,east
OH,Ashtabula County,44874,25027,18949,898,56.94,east
IA,Cedar County,9665,5221,4289,155,54.90,west
IL,Whiteside County,26906,15607,10883,416,58.92,east
NE,Boone County,2836,742,2042,52,26.65,west
IL,Lee County,16318,7765,8258,295,48.46,east
IA,Harrison County,7578,3555,3909,114,47.63,west
IA,Iowa County,8546,4202,4188,156,50.08,west
IA,Dallas County,32640,15149,16954,537,47.19,west
IA,Shelby County,6453,2863,3488,102,45.08,west
IA,Audubon County,3435,1739,1634,62,51.56,west
IA,Poweshiek County,10031,5519,4340,172,55.98,west
IA,Polk County,214386,120984,89668,3734,57.43,west
IA,Jasper County,19421,10250,8794,377,53.82,west
IA,Guthrie County,5847,2625,3074,148,46.06,west
IA,Johnson County,72975,51027,20732,1216,71.11,west
OH,Lake County,121335,60155,59142,2038,50.46,east
PA,Crawford County,38134,16780,20750,604,44.71,east
IL,Rock Island County,68401,42210,25364,827,62.47,east
RI,Bristol County,25807,16162,9260,385,63.58,east
IA,Scott County,86371,48927,36365,1079,57.37,west
RI,Kent County,83678,48406,33780,1492,58.90,east
IN,Elkhart County,71458,31398,39396,664,44.34,east
IN,Saint Joseph County,118389,68710,48510,1169,58.59,east
IN,LaPorte County,208757,28258,17918,743,61.18,east
IN,Steuben County,14146,6284,7674,188,44.98,east
IN,LaGrange County,9491,3663,5702,126,39.11,east
NE,Colfax County,3203,1125,2018,60,35.79,west
NE,Platte County,13420,3796,9373,251,28.83,west
NE,Dodge County,15550,6689,8557,304,43.88,west
NE,McPherson County,293,45,240,8,15.79,west
NE,Arthur County,263,39,217,7,15.24,west
NE,Greeley County,1199,458,715,26,39.05,west
NE,Custer County,5578,1192,4301,85,21.70,west
NE,Logan County,416,81,327,8,19.85,west
NE,Valley County,2423,706,1657,60,29.88,west
OH,Lucas County,219830,142852,73706,3272,65.99,east
IL,Will County,286420,160406,122597,3417,56.68,east
IL,Kendall County,46631,24742,21380,509,53.64,east
OH,Fulton County,21973,9900,11689,384,45.88,east
OH,Geauga County,51102,21250,29096,756,42.23,east
CT,New London County,124874,74776,48491,1607,60.69,east
IN,Lake County,208757,139301,67742,1714,67.24,east
IN,Porter County,73916,39178,33857,881,53.64,east
OH,Williams County,18397,8174,9880,343,45.26,east
NE,Banner County,416,62,348,6,15.12,west
NE,Washington County,10320,3711,6425,184,36.61,west
RI,Newport County,41841,25479,15717,645,61.85,east
CT,Fairfield County,413741,242936,167736,3069,59.17,east
WY,Laramie County,41625,16072,24549,1004,39.56,west
RI,Washington County,168633,116156,49810,2667,69.99,east
PA,Wyoming County,13138,5985,6983,170,46.15,east
CT,Middlesex County,87252,52983,32918,1351,61.69,east
CT,New Haven County,382886,233589,144650,4647,61.74,east
PA,Lackawanna County,107876,67520,39488,868,63.10,east
NY,Orange County,151982,78326,72042,1614,52.09,east
IL,La Salle County,50185,27443,21872,870,55.65,east
PA,Elk County,14271,7290,6676,305,52.20,east
PA,Forest County,2444,1038,1366,40,43.18,east
PA,Venango County,23307,9238,13718,351,40.24,east
OH,Erie County,41229,23148,17432,649,57.01,east
OH,Wood County,65022,34285,29648,1089,53.61,east
PA,Cameron County,2245,879,1323,43,39.92,east
PA,Pike County,24284,11493,12518,273,47.87,east
IA,Muscatine County,19119,10920,7929,270,57.94,west
PA,Lycoming County,49237,18381,30280,576,37.77,east
PA,Sullivan County,3120,1233,1841,46,40.11,east
IL,Bureau County,17113,8889,7911,313,52.91,east
IL,Henry County,24785,13181,11263,341,53.92,east
WY,Uinta County,8383,2317,5763,303,28.68,west
IN,DeKalb County,17149,7175,9780,194,42.31,east
IN,Noble County,16974,7064,9673,237,42.19,east
NE,Nance County,1707,549,1116,42,32.97,west
NY,Putnam County,47244,21613,25145,486,46.23,east
MA,Dukes County,10553,7913,2442,198,76.42,east
OH,Lorain County,146859,85276,59068,2515,59.10,east
IA,Washington County,10626,5170,5247,209,49.63,west
IA,Warren County,24880,12299,12144,437,50.32,west
IA,Keokuk County,5361,2518,2712,131,48.14,west
IA,Madison County,8480,3733,4579,168,44.91,west
IA,Mahaska County,10932,4464,6271,197,41.58,west
IA,Marion County,17030,7421,9256,353,44.50,west
IA,Pottawattamie County,42320,20436,21237,647,49.04,west
IA,Cass County,7350,3211,4006,133,44.50,west
IA,Adair County,4053,1924,2060,69,48.29,west
OH,Trumbull County,106911,64145,40164,2602,61.48,east
PA,Mercer County,53821,26411,26565,845,49.85,east
OH,Henry County,14840,6320,8239,281,43.43,east
IN,Marshall County,18550,7889,10406,255,43.10,east
PA,Clinton County,14791,7097,7504,190,48.61,east
CA,Humboldt County,63727,39692,21713,2322,64.63,west
IL,Grundy County,22171,11063,10687,421,50.87,east
NE,Butler County,3839,1190,2557,92,31.76,west
NE,Saunders County,10212,3767,6188,257,37.84,west
IN,Kosciusko County,30134,9236,20488,410,31.03,east
NE,Cheyenne County,4839,1173,3572,94,24.72,west
PA,Clarion County,17766,6756,10737,273,38.62,east
UT,Weber County,73394,25666,45885,1843,35.87,west
IN,Starke County,9466,4778,4473,215,51.64,east
PA,Luzerne County,135175,72492,61127,1556,54.25,east
OH,Defiance County,19195,8399,10407,389,44.69,east
IA,Louisa County,4920,2523,2314,83,52.16,west
NE,Keith County,3968,974,2942,52,24.88,west
NE,Lincoln County,16277,5046,10817,414,31.81,west
MA,Nantucket County,6052,4073,1863,116,68.62,east
NE,Polk County,2543,668,1822,53,26.83,west
NE,Kimball County,1811,439,1346,26,24.59,west
NE,Merrick County,3431,986,2375,70,29.34,west
NE,Howard County,2996,1083,1847,66,36.96,west
NE,Sherman County,1572,585,950,37,38.11,west
NE,Douglas County,226701,116810,106291,3600,52.36,west
UT,Morgan County,4161,689,3311,161,17.23,west
PA,Jefferson County,18802,6447,12057,298,34.84,east
CA,Trinity County,6374,3233,2940,201,52.38,west
NY,Westchester County,413044,261810,147824,3410,63.91,east
NJ,Sussex County,74154,28840,44184,1130,39.49,east
OH,Portage County,78206,41856,34822,1528,54.59,east
IL,Mercer County,8848,4887,3833,128,56.04,east
IL,Putnam County,3337,1900,1378,59,57.97,east
NY,Rockland County,132193,69543,61752,898,52.97,east
PA,Columbia County,28063,13230,14477,356,47.75,east
IL,Kankakee County,48016,24750,22527,739,52.35,east
IN,Whitley County,15188,5862,9124,202,39.11,east
NY,Suffolk County,659779,346549,307021,6209,53.03,east
OH,Huron County,25582,12076,12884,622,48.36,east
IN,Jasper County,12875,5044,7669,162,39.68,east
OH,Medina County,90451,40924,48189,1338,45.89,east
IN,Allen County,150324,71263,77793,1268,47.78,east
OH,Seneca County,27449,13087,13823,539,48.62,east
PA,Clearfield County,33813,14555,18662,596,43.82,east
UT,Summit County,16809,9532,6956,321,57.81,west
PA,Centre County,75763,41950,32992,821,55.97,east
PA,Monroe County,68443,39453,28293,697,58.23,east
OH,Paulding County,9769,4165,5317,287,43.92,east
IL,Stark County,2907,1357,1513,37,47.28,east
NE,Deuel County,993,243,732,18,24.92,west
IN,Newton County,6045,2625,3301,119,44.29,east
NJ,Passaic County,187395,113257,72552,1586,60.95,east
NE,Sarpy County,68022,28010,38816,1196,41.92,west
CA,Lassen County,11387,3586,7483,318,32.41,west
CA,Shasta County,80390,28867,49588,1935,36.78,west
PA,Northumberland County,33939,14329,19018,592,42.97,east
IN,Fulton County,9006,3702,5147,157,41.81,east
NE,Hamilton County,4799,1332,3389,78,28.22,west
IN,Pulaski County,5964,2466,3388,110,42.10,east
PA,Montour County,8023,3364,4574,85,42.38,east
PA,Butler County,90425,32260,57074,1091,36.11,east
PA,Armstrong County,30081,11138,18542,401,37.53,east
OH,Hancock County,36981,13870,22420,691,38.23,east
OH,Putnam County,18680,5281,13072,327,28.79,east
IA,Jefferson County,8631,5070,3324,237,60.40,west
IA,Henry County,9377,4349,4822,206,47.42,west
IA,Wapello County,15931,8820,6663,448,56.97,west
IA,Clarke County,4443,2218,2118,107,51.15,west
IA,Lucas County,4471,2029,2330,112,46.55,west
IA,Monroe County,3873,1798,2000,75,47.34,west
IA,Mills County,7282,2976,4183,123,41.57,west
IA,Montgomery County,5287,2326,2887,74,44.61,west
IA,Adams County,2206,1118,1046,42,51.66,west
IA,Union County,5909,3000,2781,128,51.90,west
UT,Davis County,110902,30477,77341,3084,28.27,west
IL,Knox County,23988,14191,9419,378,60.10,east
PA,Union County,17400,7333,9859,208,42.65,east
IL,Marshall County,6333,3081,3145,107,49.49,east
NJ,Bergen County,414733,225367,186118,3248,54.77,east
OH,Mahoning County,127032,79173,45319,2540,63.57,east
PA,Carbon County,26923,13464,12957,502,50.96,east
PA,Lawrence County,42103,19711,21851,541,47.43,east
IL,Livingston County,15625,6189,9191,245,40.24,east
NJ,Warren County,48939,20628,27500,811,42.86,east
NJ,Morris County,246916,112275,132331,2310,45.90,east
UT,Tooele County,17337,5830,10998,509,34.65,west
IA,Des Moines County,20570,12462,7721,387,61.74,west
IL,Henderson County,3814,2215,1541,58,58.98,east
IL,Warren County,8029,4286,3637,106,54.09,east
OH,Ashland County,25168,9300,15158,710,38.07,east
NE,Cass County,12122,4753,7120,249,40.03,west
NE,York County,6568,1607,4848,113,24.90,west
NE,Hall County,21271,7855,12977,439,37.71,west
NE,Dawson County,7986,2399,5460,127,30.53,west
NE,Buffalo County,19293,5867,13097,329,30.94,west
NE,Seward County,7529,2703,4647,179,36.78,west
NE,Lancaster County,127490,65734,59398,2358,52.53,west
IN,Wabash County,13871,5456,8238,177,39.82,east
IL,Iroquois County,13596,4643,8695,258,34.81,east
IN,Huntington County,16328,5843,10291,194,36.23,east
CO,Weld County,105866,47292,56526,2048,45.57,west
NE,Perkins County,1420,310,1092,18,22.11,west
CO,Routt County,13199,8270,4725,204,63.65,west
CO,Jackson County,913,277,624,12,30.70,west
CO,Moffat County,5871,1582,4135,154,27.72,west
CO,Logan County,8977,2846,6002,129,32.15,west
CO,Sedgwick County,1351,468,857,26,35.31,west
UT,Daggett County,439,131,297,11,30.61,west
NV,Eureka County,728,144,564,20,20.35,west
NV,Lander County,2081,577,1466,38,28.24,west
CO,Larimer County,166373,89822,73641,2910,54.93,west
IN,Miami County,14113,5564,8312,237,40.08,east
OH,Crawford County,21173,8288,12316,569,40.18,east
IL,Ford County,6386,2227,4079,80,35.31,east
OH,Richland County,61122,25727,34034,1361,43.05,east
OH,Wyandot County,10977,4461,6270,246,41.56,east
OH,Wayne County,52142,21712,29342,1088,42.49,east
OH,Van Wert County,14652,5178,9168,306,36.06,east
OH,Stark County,187545,96990,86743,3812,52.76,east
IL,Peoria County,81704,45906,34579,1219,57.04,east
PA,Northampton County,135587,75255,58551,1781,56.24,east
NV,Pershing County,1801,673,1075,53,38.52,west
PA,Schuylkill County,63057,28300,33767,990,45.60,east
OH,Columbiana County,48487,21882,25585,1020,46.07,east
IL,Woodford County,19483,6999,12191,293,36.47,east
IN,Adams County,13513,4928,8404,181,36.98,east
OH,Allen County,50263,19522,29940,801,39.43,east
UT,Salt Lake County,363749,176988,176692,10069,50.04,west
NY,Bronx County,381322,338261,41683,1378,89.03,east
IN,Wells County,13073,4403,8504,166,34.11,east
NY,Nassau County,635618,342185,288776,4657,54.24,east
IN,White County,10767,4839,5731,197,45.77,east
IN,Cass County,15653,7011,8346,296,45.67,east
PA,Indiana County,37302,17065,19727,510,46.39,east
NJ,Essex County,316183,240306,74063,1814,76.44,east
IA,Fremont County,3894,1848,1989,57,48.16,west
IA,Page County,7356,2900,4351,105,39.99,west
IA,Taylor County,3026,1347,1607,72,45.60,west
IA,Van Buren County,3608,1546,1986,76,43.77,west
IA,Davis County,3815,1680,2029,106,45.30,west
IA,Ringgold County,2689,1236,1401,52,46.87,west
IA,Decatur County,4102,1986,2020,96,49.58,west
IA,Wayne County,2980,1357,1565,58,46.44,west
IA,Appanoose County,6176,2970,3086,120,49.04,west
PA,Snyder County,15479,5382,9900,197,35.22,east
NY,New York County,667594,572126,89906,5562,86.42,east
UT,Uintah County,10151,1462,8441,248,14.76,west
PA,Beaver County,84488,40499,42895,1094,48.56,east
PA,Mifflin County,16502,5375,10929,198,32.97,east
UT,Duchesne County,5744,911,4689,144,16.27,west
