mpg,cyl,displ,hp,weight,accel,yr,origin,name
38.0,4,105.0,63,2125,14.7,1982-01-01,US,plymouth horizon miser
36.0,4,98.0,70,2125,17.3,1982-01-01,US,mercury lynx l
36.0,4,120.0,88,2160,14.5,1982-01-01,Asia,nissan stanza xe
36.0,4,107.0,75,2205,14.5,1982-01-01,Asia,honda accord
34.0,4,108.0,70,2245,16.9,1982-01-01,Asia,toyota corolla
38.0,4,91.0,67,1965,15.0,1982-01-01,Asia,honda civic
32.0,4,91.0,67,1965,15.7,1982-01-01,Asia,honda civic (auto)
38.0,4,91.0,67,1995,16.2,1982-01-01,Asia,datsun 310 gx
25.0,6,181.0,110,2945,16.4,1982-01-01,US,buick century limited
38.0,6,262.0,85,3015,17.0,1982-01-01,US,oldsmobile cutlass ciera (diesel)
26.0,4,156.0,92,2585,14.5,1982-01-01,US,chrysler lebaron medallion
22.0,6,232.0,112,2835,14.7,1982-01-01,US,ford granada l
32.0,4,144.0,96,2665,13.9,1982-01-01,Asia,toyota celica gt
36.0,4,135.0,84,2370,13.0,1982-01-01,US,dodge charger 2.2
27.0,4,151.0,90,2950,17.3,1982-01-01,US,chevrolet camaro
27.0,4,140.0,86,2790,15.6,1982-01-01,US,ford mustang gl
44.0,4,97.0,52,2130,24.6,1982-01-01,Europe,vw pickup
32.0,4,135.0,84,2295,11.6,1982-01-01,US,dodge rampage
28.0,4,120.0,79,2625,18.6,1982-01-01,US,ford ranger
31.0,4,119.0,82,2720,19.4,1982-01-01,US,chevy s-10
