From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Jury Rank,Televote Rank,Jury Points,Televote Points
Greece,Ukraine,3,13,13,6,16,9,5,2,6
Greece,Malta,9,9,8,10,6,7,22,4,
Greece,Georgia,7,10,4,7,12,6,12,5,
Greece,Austria,26,12,11,8,5,12,10,,1
Greece,United Kingdom,21,25,6,9,11,14,21,,
Greece,Armenia,5,3,2,4,2,2,3,10,8
Hungary,Belgium,20,12,5,24,4,14,14,,
Hungary,Czech Republic,7,17,6,21,1,9,18,2,
Hungary,The Netherlands,6,5,7,16,8,5,9,6,2
Hungary,Azerbaijan,5,13,1,18,5,4,16,7,
Hungary,Italy,15,20,17,23,15,21,19,,
Hungary,Israel,25,18,3,11,9,16,17,,
Hungary,Bulgaria,23,14,16,20,20,22,7,,4
Hungary,Sweden,8,21,4,12,3,7,4,4,7
Hungary,Germany,10,24,9,19,10,17,13,,
Hungary,France,14,19,10,22,19,20,10,,1
Hungary,Poland,24,23,24,25,18,25,3,,8
Hungary,Australia,4,8,2,1,2,1,8,12,3
Hungary,Cyprus,13,11,11,13,17,15,6,,5
Hungary,Serbia,19,22,23,17,25,24,24,,
Hungary,Lithuania,1,16,8,10,16,8,23,3,
Hungary,Croatia,17,7,12,14,24,18,21,,
Hungary,Russia,12,10,21,8,14,13,2,,10
Hungary,Spain,9,1,14,9,13,6,15,5,
Hungary,Latvia,2,9,13,7,6,3,11,8,
Hungary,Ukraine,18,4,15,6,21,12,1,,12
Hungary,Malta,3,2,20,3,7,2,20,10,
Hungary,Georgia,16,15,18,4,11,11,22,,
Hungary,Austria,22,25,25,2,23,23,5,,6
Hungary,United Kingdom,21,6,19,15,22,19,25,,
Hungary,Armenia,11,3,22,5,12,10,12,1,
Iceland,Belgium,12,11,4,12,12,8,8,3,3
Iceland,Czech Republic,9,5,9,9,13,6,24,5,
Iceland,The Netherlands,3,2,2,3,1,1,5,12,6
Iceland,Azerbaijan,16,12,17,11,16,13,10,,1
Iceland,Hungary,18,26,10,23,8,18,14,,
Iceland,Italy,25,10,18,25,7,19,13,,
Iceland,Israel,15,24,6,24,11,16,21,,
Iceland,Bulgaria,22,18,14,7,23,17,12,,
Iceland,Sweden,1,4,19,4,17,5,1,6,12
Iceland,Germany,24,6,21,19,18,22,23,,
Iceland,France,7,14,22,6,5,9,6,2,5
Iceland,Poland,4,23,20,16,6,12,2,,10
Iceland,Australia,2,1,5,2,2,2,3,10,8
Iceland,Cyprus,19,22,16,22,9,21,16,,
Iceland,Serbia,23,17,23,10,26,25,25,,
Iceland,Lithuania,10,16,15,21,15,14,7,,4
Iceland,Croatia,6,8,24,1,4,4,26,7,
Iceland,Russia,5,3,3,8,19,3,4,8,7
Iceland,Spain,14,21,1,26,24,20,15,,
Iceland,Latvia,20,25,26,18,20,26,17,,
Iceland,Ukraine,11,20,7,20,21,15,11,,
Iceland,Malta,8,7,12,15,3,7,19,4,
Iceland,Georgia,26,19,25,13,10,24,22,,
Iceland,Austria,17,9,8,5,22,10,9,1,2
Iceland,United Kingdom,13,15,11,14,14,11,20,,
Iceland,Armenia,21,13,13,17,25,23,18,,
Ireland,Belgium,1,1,3,2,5,1,13,12,
Ireland,Czech Republic,12,15,14,9,11,9,23,2,
Ireland,The Netherlands,3,3,1,4,16,3,14,8,
Ireland,Azerbaijan,16,16,13,22,21,19,25,,
Ireland,Hungary,18,17,25,19,23,26,15,,
Ireland,Italy,5,2,20,5,7,5,16,6,
Ireland,Israel,2,11,9,13,13,7,18,4,
Ireland,Bulgaria,10,4,4,3,4,2,6,10,5
Ireland,Sweden,22,5,12,7,2,6,9,5,2
Ireland,Germany,26,14,15,24,10,21,20,,
Ireland,France,4,13,7,17,17,8,12,3,
Ireland,Poland,24,12,26,16,20,24,2,,10
Ireland,Australia,23,22,2,8,8,12,5,,6
Ireland,Cyprus,19,8,18,11,25,17,17,,
Ireland,Serbia,9,9,19,20,18,16,26,,
Ireland,Lithuania,11,26,16,6,14,14,1,,12
Ireland,Croatia,17,19,10,21,22,20,24,,
Ireland,Russia,8,21,17,12,26,18,3,,8
Ireland,Spain,13,10,23,18,3,13,11,,
Ireland,Latvia,15,25,8,14,1,10,4,1,7
Ireland,Ukraine,25,24,5,15,6,15,7,,4
Ireland,Malta,7,23,22,23,19,22,19,,
Ireland,Georgia,20,18,6,10,9,11,22,,
Ireland,Austria,21,6,24,26,24,25,10,,1
Ireland,United Kingdom,6,7,11,1,12,4,8,7,3
Ireland,Armenia,14,20,21,25,15,23,21,,
Israel,Belgium,12,6,2,9,1,5,10,6,1
Israel,Czech Republic,19,14,13,10,18,15,24,,
Israel,The Netherlands,16,17,22,20,25,24,19,,
Israel,Azerbaijan,11,16,9,25,10,14,9,,2
Israel,Hungary,21,22,24,12,9,18,15,,
Israel,Italy,10,8,25,6,11,11,13,,
Israel,Bulgaria,7,5,7,5,6,4,4,7,7
Israel,Sweden,14,24,21,22,19,23,17,,
Israel,Germany,15,15,19,21,22,19,22,,
Israel,France,4,9,3,3,3,3,1,8,12
Israel,Poland,8,23,12,15,21,16,7,,4
Israel,Australia,3,4,1,1,8,2,6,10,5
Israel,Cyprus,25,19,23,23,17,25,12,,
Israel,Serbia,23,18,16,24,12,21,21,,
Israel,Lithuania,18,7,11,4,16,10,11,1,
Israel,Croatia,2,21,15,8,7,8,23,3,
Israel,Russia,5,20,17,7,20,13,2,,10
Israel,Spain,6,12,8,14,13,7,14,4,
Israel,Latvia,9,3,4,11,4,6,16,5,
Israel,Ukraine,1,1,5,2,2,1,3,12,8
Israel,Malta,20,13,14,13,24,17,25,,
Israel,Georgia,22,10,10,16,5,12,20,,
Israel,Austria,24,11,20,17,23,22,8,,3
Israel,United Kingdom,17,25,18,18,14,20,18,,
Israel,Armenia,13,2,6,19,15,9,5,2,6
Italy,Belgium,15,19,7,11,10,11,18,,
Italy,Czech Republic,23,18,25,22,13,24,24,,
Italy,The Netherlands,14,5,5,10,4,7,19,4,
Italy,Azerbaijan,22,21,15,21,22,25,23,,
Italy,Hungary,21,22,16,13,23,20,15,,
Italy,Israel,6,9,6,5,1,3,17,8,
Italy,Bulgaria,9,15,17,18,15,14,4,,7
Italy,Sweden,24,4,11,6,5,9,16,2,
Italy,Germany,10,11,12,19,24,15,21,,
Italy,France,1,1,18,2,6,4,6,7,5
Italy,Poland,20,14,24,25,11,19,2,,10
Italy,Australia,3,8,8,9,2,5,11,6,
Italy,Cyprus,16,23,3,8,8,10,5,1,6
Italy,Serbia,13,20,20,23,21,21,7,,4
Italy,Lithuania,17,24,14,16,7,16,9,,2
Italy,Croatia,8,13,21,12,25,17,22,,
Italy,Russia,25,3,23,17,12,18,3,,8
Italy,Spain,5,6,1,1,9,1,13,12,
Italy,Latvia,11,12,9,20,14,13,14,,
Italy,Ukraine,4,7,4,7,3,2,1,10,12
Italy,Malta,2,2,10,3,18,6,20,5,
Italy,Georgia,7,16,2,4,20,8,8,3,3
Italy,Austria,19,25,22,15,17,23,12,,
Italy,United Kingdom,12,10,13,14,16,12,25,,
Italy,Armenia,18,17,19,24,19,22,10,,1
Latvia,Belgium,25,5,19,17,10,14,15,,
Latvia,Czech Republic,12,15,21,15,17,18,24,,
Latvia,The Netherlands,5,12,16,10,6,8,16,3,
Latvia,Azerbaijan,10,20,24,19,21,22,8,,3
Latvia,Hungary,11,19,14,18,25,20,13,,
Latvia,Italy,17,16,17,23,12,19,19,,
Latvia,Israel,8,11,13,11,7,9,20,2,
Latvia,Bulgaria,22,9,12,6,3,10,10,1,1
Latvia,Sweden,3,4,2,3,8,3,4,8,7
Latvia,Germany,23,25,23,22,24,25,18,,
Latvia,France,18,14,18,20,19,21,11,,
Latvia,Poland,20,24,25,25,15,24,6,,5
Latvia,Australia,7,6,10,16,5,6,5,5,6
Latvia,Cyprus,13,18,20,12,13,15,12,,
Latvia,Serbia,9,23,11,8,23,13,25,,
Latvia,Lithuania,6,2,3,2,1,2,3,10,8
Latvia,Croatia,19,22,9,5,22,16,22,,
Latvia,Russia,4,8,5,14,2,4,1,7,12
Latvia,Spain,24,10,4,21,9,12,17,,
Latvia,Ukraine,2,1,1,1,4,1,2,12,10
Latvia,Malta,14,7,6,7,14,7,23,4,
Latvia,Georgia,21,3,7,4,20,11,9,,2
Latvia,Austria,16,21,22,24,16,23,7,,4
Latvia,United Kingdom,15,17,15,13,18,17,21,,
Latvia,Armenia,1,13,8,9,11,5,14,6,
Lithuania,Belgium,7,7,6,7,4,6,13,5,
Lithuania,Czech Republic,8,15,24,18,15,17,24,,
Lithuania,The Netherlands,22,16,10,17,13,15,17,,
Lithuania,Azerbaijan,11,24,23,19,9,20,18,,
Lithuania,Hungary,23,11,8,20,23,19,9,,2
Lithuania,Italy,13,8,15,21,6,11,15,,
Lithuania,Israel,5,6,5,6,7,5,19,6,
Lithuania,Bulgaria,9,12,22,8,8,9,11,2,
Lithuania,Sweden,20,9,11,22,16,14,4,,7
Lithuania,Germany,16,13,12,15,11,12,21,,
Lithuania,France,14,20,13,5,10,10,8,1,3
Lithuania,Poland,6,19,9,11,14,8,5,3,6
Lithuania,Australia,1,2,2,1,1,1,6,12,5
Lithuania,Cyprus,24,21,14,23,24,24,14,,
Lithuania,Serbia,17,14,21,16,12,18,25,,
Lithuania,Croatia,18,22,16,12,25,22,23,,
Lithuania,Russia,25,25,25,25,22,25,3,,8
Lithuania,Spain,15,18,17,9,21,16,16,,
Lithuania,Latvia,4,3,4,3,5,4,1,7,12
Lithuania,Ukraine,3,1,3,4,2,3,2,8,10
Lithuania,Malta,12,10,18,13,20,13,22,,
Lithuania,Georgia,2,4,1,2,3,2,7,10,4
Lithuania,Austria,19,23,19,24,19,23,10,,1
Lithuania,United Kingdom,21,17,20,14,18,21,20,,
Lithuania,Armenia,10,5,7,10,17,7,12,4,
Malta,Belgium,16,13,17,24,21,20,17,,
Malta,Czech Republic,18,16,20,10,17,16,24,,
Malta,The Netherlands,13,11,15,25,20,17,8,,3
Malta,Azerbaijan,20,9,21,19,8,11,5,,6
Malta,Hungary,19,15,12,16,19,14,6,,5
Malta,Italy,5,4,4,3,5,3,4,8,7
Malta,Israel,10,14,8,12,11,10,18,1,
Malta,Bulgaria,1,5,6,1,7,2,3,10,8
Malta,Sweden,11,12,22,22,18,18,11,,
Malta,Germany,24,17,16,17,25,22,22,,
Malta,France,4,7,1,8,4,5,9,6,2
Malta,Poland,25,21,24,18,24,25,13,,
Malta,Australia,6,10,9,7,6,8,1,3,12
Malta,Cyprus,12,3,7,2,2,6,12,5,
Malta,Serbia,15,19,23,15,16,19,21,,
Malta,Lithuania,14,22,14,20,9,13,16,,
Malta,Croatia,21,18,25,21,15,23,25,,
Malta,Russia,3,8,5,5,13,7,2,4,10
Malta,Spain,9,6,10,9,10,9,20,2,
Malta,Latvia,22,20,13,14,12,15,19,,
Malta,Ukraine,23,25,18,23,14,24,7,,4
Malta,Georgia,17,24,19,11,22,21,23,,
Malta,Austria,7,23,11,13,23,12,15,,
Malta,United Kingdom,2,1,2,4,1,1,10,12,1
Malta,Armenia,8,2,3,6,3,4,14,7,
Moldova,Belgium,22,8,16,16,19,16,15,,
Moldova,Czech Republic,13,26,6,6,12,12,26,,
Moldova,The Netherlands,18,11,19,22,20,19,25,,
Moldova,Azerbaijan,19,25,26,25,24,26,3,,8
Moldova,Hungary,14,17,24,21,16,21,11,,
Moldova,Italy,8,22,20,20,21,20,13,,
Moldova,Israel,9,18,18,19,15,15,21,,
Moldova,Bulgaria,24,21,23,14,22,23,9,,2
Moldova,Sweden,4,9,5,5,7,5,12,6,
Moldova,Germany,20,24,13,23,23,22,18,,
Moldova,France,23,7,14,24,17,17,5,,6
Moldova,Poland,21,20,22,26,18,24,14,,
Moldova,Australia,1,2,1,3,3,2,6,10,5
Moldova,Cyprus,16,12,11,7,5,9,16,2,
Moldova,Serbia,25,13,4,15,10,13,22,,
Moldova,Lithuania,6,6,12,8,11,7,8,4,3
Moldova,Croatia,15,15,15,2,8,10,24,1,
Moldova,Russia,3,3,10,9,4,4,1,7,12
Moldova,Spain,12,4,3,4,6,3,17,8,
Moldova,Latvia,17,16,21,10,14,14,10,,1
Moldova,Ukraine,2,1,2,1,1,1,2,12,10
Moldova,Malta,7,10,9,13,9,8,19,3,
Moldova,Georgia,26,23,25,12,26,25,23,,
Moldova,Austria,11,19,17,17,25,18,7,,4
Moldova,United Kingdom,10,14,7,18,13,11,20,,
Moldova,Armenia,5,5,8,11,2,6,4,5,7
Montenegro,Belgium,22,5,11,11,5,8,16,3,
Montenegro,Czech Republic,16,19,14,14,18,16,26,,
Montenegro,The Netherlands,18,8,26,21,20,22,23,,
Montenegro,Azerbaijan,6,22,13,15,24,15,4,,7
Montenegro,Hungary,4,7,3,3,14,4,8,7,3
Montenegro,Italy,12,18,25,20,15,20,7,,4
Montenegro,Israel,11,9,24,18,9,12,20,,
Montenegro,Bulgaria,5,11,12,19,11,9,6,2,5
Montenegro,Sweden,26,21,23,26,17,25,15,,
Montenegro,Germany,25,25,22,25,25,26,24,,
Montenegro,France,15,4,7,8,6,6,10,5,1
Montenegro,Poland,9,20,8,10,12,10,21,1,
Montenegro,Australia,10,10,6,9,7,7,13,4,
Montenegro,Cyprus,19,6,21,24,4,13,12,,
Montenegro,Serbia,7,12,5,5,8,5,1,6,12
Montenegro,Lithuania,21,17,20,12,16,18,9,,2
Montenegro,Croatia,13,23,10,6,22,14,5,,6
Montenegro,Russia,3,3,1,4,2,3,2,8,10
Montenegro,Spain,24,16,19,17,10,19,19,,
Montenegro,Latvia,17,24,18,13,23,23,14,,
Montenegro,Ukraine,8,15,17,7,19,11,3,,8
Montenegro,Malta,2,2,2,2,1,1,18,12,
Montenegro,Georgia,20,13,16,23,21,21,22,,
Montenegro,Austria,14,26,9,22,26,24,17,,
Montenegro,United Kingdom,23,14,15,16,13,17,25,,
Montenegro,Armenia,1,1,4,1,3,2,11,10,
Norway,Belgium,8,9,1,8,12,6,9,5,2
Norway,Czech Republic,12,11,13,14,5,11,26,,
Norway,The Netherlands,4,7,5,2,10,5,11,6,
Norway,Azerbaijan,14,8,16,18,20,17,22,,
Norway,Hungary,26,25,26,26,17,25,17,,
Norway,Italy,2,3,2,1,6,1,14,12,
Norway,Israel,15,5,6,11,15,8,18,3,
Norway,Bulgaria,1,2,7,15,1,3,6,8,5
Norway,Sweden,13,6,11,12,14,12,4,,7
Norway,Germany,23,20,23,23,22,23,19,,
Norway,France,11,12,21,6,19,14,10,,1
Norway,Poland,3,13,15,17,7,10,2,1,10
Norway,Australia,5,10,3,3,4,2,3,10,8
Norway,Cyprus,22,23,24,25,25,24,15,,
Norway,Serbia,24,19,20,24,18,22,23,,
Norway,Lithuania,6,17,4,4,24,9,1,2,12
Norway,Croatia,18,18,18,13,8,16,25,,
Norway,Russia,19,1,17,10,11,13,5,,6
Norway,Spain,7,4,9,5,3,4,13,7,
Norway,Latvia,17,15,19,19,16,19,8,,3
Norway,Ukraine,9,21,10,9,2,7,7,4,4
Norway,Malta,16,16,14,21,23,21,24,,
Norway,Georgia,20,24,12,22,9,20,20,,
Norway,Austria,21,14,22,7,21,18,12,,
Norway,United Kingdom,10,22,8,16,13,15,16,,
Norway,Armenia,25,26,25,20,26,26,21,,
Poland,Belgium,11,14,17,9,21,16,14,,
Poland,Czech Republic,5,11,21,10,7,7,19,4,
Poland,The Netherlands,10,22,15,7,22,17,17,,
Poland,Azerbaijan,14,20,24,14,20,22,20,,
Poland,Hungary,22,19,6,20,10,18,5,,6
Poland,Italy,17,9,13,17,12,15,16,,
Poland,Israel,3,10,8,2,18,4,18,7,
Poland,Bulgaria,9,18,16,8,6,8,8,3,3
Poland,Sweden,18,4,5,22,15,12,2,,10
Poland,Germany,23,8,23,21,13,21,21,,
Poland,France,13,23,9,12,4,10,15,1,
Poland,Australia,2,2,4,3,2,2,4,10,7
Poland,Cyprus,25,24,12,24,23,25,10,,1
Poland,Serbia,20,16,14,16,14,19,25,,
Poland,Lithuania,4,7,19,5,24,9,11,2,
Poland,Croatia,21,17,20,23,16,23,24,,
Poland,Russia,19,3,7,18,17,13,3,,8
Poland,Spain,12,13,3,19,3,6,12,5,
Poland,Latvia,7,12,10,4,11,5,6,6,5
Poland,Ukraine,1,1,1,1,1,1,1,12,12
Poland,Malta,16,21,22,13,9,20,23,,
Poland,Georgia,15,5,2,11,8,3,13,8,
Poland,Austria,24,6,25,25,25,24,7,,4
Poland,United Kingdom,6,25,11,6,19,14,22,,
Poland,Armenia,8,15,18,15,5,11,9,,2
Russia,Belgium,22,23,22,4,13,20,22,,
Russia,Czech Republic,18,22,5,13,14,14,23,,
Russia,The Netherlands,8,5,24,18,15,12,20,,
Russia,Azerbaijan,2,2,3,3,1,2,5,10,6
Russia,Hungary,12,15,12,19,2,10,12,1,
Russia,Italy,20,8,13,8,12,11,14,,
Russia,Israel,23,24,25,24,22,25,17,,
Russia,Bulgaria,13,16,15,21,19,21,11,,
Russia,Sweden,14,17,7,14,20,15,9,,2
Russia,Germany,15,13,14,15,21,18,21,,
Russia,France,5,9,4,10,6,4,8,7,3
Russia,Poland,10,25,23,25,24,23,6,,5
Russia,Australia,24,6,10,9,8,9,7,2,4
Russia,Cyprus,4,7,11,12,10,7,4,4,7
Russia,Serbia,19,21,20,20,23,22,16,,
Russia,Lithuania,11,3,19,22,16,13,18,,
Russia,Croatia,17,18,18,11,11,16,24,,
Russia,Spain,16,19,6,17,18,17,15,,
Russia,Latvia,7,20,9,5,5,8,10,3,1
Russia,Ukraine,25,14,21,23,25,24,2,,10
Russia,Malta,1,12,2,2,4,3,19,8,
Russia,Georgia,9,4,16,7,7,6,13,5,
Russia,Austria,21,11,17,16,17,19,3,,8
Russia,United Kingdom,6,10,8,6,9,5,25,6,
Russia,Armenia,3,1,1,1,3,1,1,12,12
San Marino,Belgium,26,12,8,8,21,16,20,,
San Marino,Czech Republic,25,5,2,17,22,14,24,,
San Marino,The Netherlands,18,2,3,2,23,7,17,4,
San Marino,Azerbaijan,23,20,15,18,20,24,12,,
San Marino,Hungary,10,15,6,16,19,9,10,2,1
San Marino,Italy,9,1,7,1,17,2,13,10,
San Marino,Israel,12,14,17,15,24,21,21,,
San Marino,Bulgaria,16,24,19,3,16,17,8,,3
San Marino,Sweden,20,22,20,19,15,25,7,,4
San Marino,Germany,14,19,21,13,25,23,22,,
San Marino,France,8,16,22,5,18,13,14,,
San Marino,Poland,21,9,23,21,26,26,4,,7
San Marino,Australia,5,13,24,12,14,12,6,,5
San Marino,Cyprus,4,6,12,11,13,6,15,5,
San Marino,Serbia,15,17,26,14,12,22,25,,
San Marino,Lithuania,7,26,14,24,11,20,3,,8
San Marino,Croatia,19,4,18,23,9,15,26,,
San Marino,Russia,2,23,4,4,10,4,2,7,10
San Marino,Spain,6,21,9,22,8,11,19,,
San Marino,Latvia,24,25,13,9,7,19,5,,6
San Marino,Ukraine,3,3,1,6,1,1,1,12,12
San Marino,Malta,22,18,10,7,6,8,23,3,
San Marino,Georgia,1,8,11,20,4,5,18,6,
San Marino,Austria,13,10,16,25,2,10,11,1,
San Marino,United Kingdom,11,11,5,10,5,3,16,8,
San Marino,Armenia,17,7,25,26,3,18,9,,2
Serbia,Belgium,23,10,10,12,7,13,6,,5
Serbia,Czech Republic,17,19,17,23,22,21,24,,
Serbia,The Netherlands,10,5,9,13,6,6,18,5,
Serbia,Azerbaijan,11,16,15,22,21,17,21,,
Serbia,Hungary,20,21,18,21,20,22,2,,10
Serbia,Italy,14,12,11,4,19,12,15,,
Serbia,Israel,8,2,2,14,5,4,16,7,
Serbia,Bulgaria,6,14,4,8,14,7,3,4,8
Serbia,Sweden,22,22,24,20,24,25,10,,1
Serbia,Germany,24,23,19,15,23,23,23,,
Serbia,France,19,18,22,16,13,19,12,,
Serbia,Poland,9,15,16,9,10,11,13,,
Serbia,Australia,3,6,8,7,8,5,5,6,6
Serbia,Cyprus,12,20,23,19,17,20,8,,3
Serbia,Lithuania,7,8,7,3,2,3,20,8,
Serbia,Croatia,15,24,13,24,11,18,7,,4
Serbia,Russia,13,11,6,11,15,10,1,1,12
Serbia,Spain,4,17,20,10,16,15,14,,
Serbia,Latvia,16,13,5,17,12,14,19,,
Serbia,Ukraine,1,1,3,1,1,1,4,12,7
Serbia,Malta,2,3,1,2,3,2,22,10,
Serbia,Georgia,25,9,21,5,18,16,17,,
Serbia,Austria,18,25,25,18,25,24,11,,
Serbia,United Kingdom,5,4,12,25,9,9,25,2,
Serbia,Armenia,21,7,14,6,4,8,9,3,2
Slovenia,Belgium,7,3,2,3,10,3,11,8,
Slovenia,Czech Republic,26,22,16,18,17,22,26,,
Slovenia,The Netherlands,18,13,7,12,9,10,16,1,
Slovenia,Azerbaijan,24,24,22,25,19,25,25,,
Slovenia,Hungary,4,4,18,13,11,8,14,3,
Slovenia,Italy,15,15,26,19,25,23,10,,1
Slovenia,Israel,19,12,14,5,7,9,20,2,
Slovenia,Bulgaria,2,2,11,1,6,2,9,10,2
Slovenia,Sweden,21,11,10,10,15,15,6,,5
Slovenia,Germany,25,26,20,26,18,26,23,,
Slovenia,France,5,5,15,17,22,13,12,,
Slovenia,Poland,20,25,25,20,2,19,7,,4
Slovenia,Australia,10,7,4,2,14,5,8,6,3
Slovenia,Cyprus,6,18,23,7,5,11,17,,
Slovenia,Serbia,12,8,6,9,12,6,1,5,12
Slovenia,Lithuania,11,21,9,24,4,16,13,,
Slovenia,Croatia,9,14,12,14,13,12,3,,8
Slovenia,Russia,17,19,24,16,1,17,2,,10
Slovenia,Spain,23,20,13,11,24,18,18,,
Slovenia,Latvia,1,9,5,4,8,4,15,7,
Slovenia,Ukraine,3,1,1,6,3,1,4,12,7
Slovenia,Malta,14,23,19,21,23,24,24,,
Slovenia,Georgia,8,10,8,15,26,14,21,,
Slovenia,Austria,13,16,21,23,21,20,5,,6
Slovenia,United Kingdom,22,17,17,22,20,21,22,,
Slovenia,Armenia,16,6,3,8,16,7,19,4,
Spain,Belgium,6,18,5,22,21,15,11,,
Spain,Czech Republic,17,13,19,11,4,11,23,,
Spain,The Netherlands,2,15,10,2,18,8,13,3,
Spain,Azerbaijan,22,12,6,13,5,9,22,2,
Spain,Hungary,10,1,2,4,7,2,16,10,
Spain,Italy,9,10,7,9,6,6,8,5,3
Spain,Israel,18,4,11,10,17,10,19,1,
Spain,Bulgaria,12,21,16,8,10,12,1,,12
Spain,Sweden,4,5,17,23,20,14,10,,1
Spain,Germany,21,20,20,21,22,23,17,,
Spain,France,3,11,3,3,12,4,2,7,10
Spain,Poland,23,22,21,19,23,25,6,,5
Spain,Australia,11,3,4,6,3,3,7,8,4
Spain,Cyprus,20,17,24,12,8,19,14,,
Spain,Serbia,16,8,22,20,15,18,25,,
Spain,Lithuania,25,24,15,17,9,21,12,,
Spain,Croatia,19,16,13,18,13,17,24,,
Spain,Russia,14,6,8,14,1,7,3,4,8
Spain,Latvia,8,14,12,15,19,13,18,,
Spain,Ukraine,13,19,18,16,16,20,4,,7
Spain,Malta,5,9,9,5,11,5,21,6,
Spain,Georgia,7,23,25,25,25,24,20,,
Spain,Austria,24,25,14,24,14,22,9,,2
Spain,United Kingdom,15,7,23,7,24,16,15,,
Spain,Armenia,1,2,1,1,2,1,5,12,6
Sweden,Belgium,9,13,9,10,16,11,13,,
Sweden,Czech Republic,6,8,11,7,18,8,25,3,
Sweden,The Netherlands,5,10,12,6,3,6,9,5,2
Sweden,Azerbaijan,12,1,4,2,6,2,24,10,
Sweden,Hungary,18,14,17,18,19,18,17,,
Sweden,Italy,17,23,24,13,15,20,16,,
Sweden,Israel,21,16,10,19,5,15,15,,
Sweden,Bulgaria,19,7,14,17,4,13,7,,4
Sweden,Germany,20,25,23,16,20,23,21,,
Sweden,France,2,9,5,3,10,3,8,8,3
Sweden,Poland,25,24,25,20,21,25,2,,10
Sweden,Australia,1,5,1,1,1,1,1,12,12
Sweden,Cyprus,24,22,13,23,12,21,14,,
Sweden,Serbia,16,20,19,22,22,22,18,,
Sweden,Lithuania,13,18,7,12,2,9,5,2,6
Sweden,Croatia,8,15,18,11,7,12,22,,
Sweden,Russia,7,6,8,4,8,5,3,6,8
Sweden,Spain,15,2,2,14,23,10,10,1,1
Sweden,Latvia,14,12,16,25,17,17,11,,
Sweden,Ukraine,3,19,20,21,13,16,4,,7
Sweden,Malta,4,4,3,8,14,4,23,7,
Sweden,Georgia,23,17,22,24,24,24,20,,
Sweden,Austria,10,21,21,5,9,14,6,,5
Sweden,United Kingdom,22,11,15,15,25,19,19,,
Sweden,Armenia,11,3,6,9,11,7,12,4,
Switzerland,Belgium,7,1,5,3,5,2,14,10,
Switzerland,Czech Republic,21,12,8,18,21,16,24,,
Switzerland,The Netherlands,5,13,10,6,11,6,12,5,
Switzerland,Azerbaijan,19,23,9,21,19,20,25,,
Switzerland,Hungary,14,25,11,22,25,22,16,,
Switzerland,Italy,3,3,20,19,9,9,4,2,7
Switzerland,Israel,4,10,2,4,6,3,21,8,
Switzerland,Bulgaria,13,9,1,20,17,10,13,1,
Switzerland,Sweden,12,18,12,12,7,11,11,,
Switzerland,Germany,15,14,6,23,18,15,3,,8
Switzerland,France,17,17,16,11,22,18,8,,3
Switzerland,Poland,24,24,13,24,23,25,6,,5
Switzerland,Australia,6,2,3,2,1,1,10,12,1
Switzerland,Cyprus,25,22,15,25,20,24,19,,
Switzerland,Serbia,18,7,14,10,16,13,1,,12
Switzerland,Lithuania,2,11,4,9,4,4,18,7,
Switzerland,Croatia,23,16,22,26,26,26,15,,
Switzerland,Russia,8,26,21,13,12,17,5,,6
Switzerland,Spain,11,20,17,15,8,14,9,,2
Switzerland,Latvia,20,4,7,7,10,8,20,3,
Switzerland,Ukraine,10,5,18,1,3,5,7,6,4
Switzerland,Malta,16,21,23,17,15,21,26,,
Switzerland,Georgia,26,6,26,16,24,23,23,,
Switzerland,Austria,1,15,24,5,2,7,2,4,10
Switzerland,United Kingdom,9,8,19,14,13,12,22,,
Switzerland,Armenia,22,19,25,8,14,19,17,,
The Netherlands,Belgium,11,13,2,6,17,7,1,4,12
The Netherlands,Czech Republic,24,6,12,7,10,11,24,,
The Netherlands,Azerbaijan,12,12,14,15,4,10,23,1,
The Netherlands,Hungary,23,11,15,10,18,17,13,,
The Netherlands,Italy,7,5,7,14,9,5,20,6,
The Netherlands,Israel,10,4,5,4,16,4,18,7,
The Netherlands,Bulgaria,22,7,19,23,7,18,10,,1
The Netherlands,Sweden,5,2,9,1,1,2,9,10,2
The Netherlands,Germany,8,14,20,25,12,19,19,,
The Netherlands,France,17,8,6,11,6,6,7,5,4
The Netherlands,Poland,16,25,24,21,25,25,2,,10
The Netherlands,Australia,1,3,1,2,3,1,6,12,5
The Netherlands,Cyprus,13,23,21,5,14,16,15,,
The Netherlands,Serbia,15,16,16,17,24,20,21,,
The Netherlands,Lithuania,21,21,23,8,21,22,12,,
The Netherlands,Croatia,3,24,10,18,5,12,25,,
The Netherlands,Russia,20,15,8,3,19,13,8,,3
The Netherlands,Spain,9,9,17,20,13,14,11,,
The Netherlands,Latvia,2,17,22,19,15,15,17,,
The Netherlands,Ukraine,4,22,11,12,2,8,4,3,7
The Netherlands,Malta,14,20,13,22,20,21,22,,
The Netherlands,Georgia,19,19,25,16,23,23,16,,
The Netherlands,Austria,6,1,3,13,8,3,5,8,6
The Netherlands,United Kingdom,25,18,18,24,22,24,14,,
The Netherlands,Armenia,18,10,4,9,11,9,3,2,8
Ukraine,Belgium,5,3,1,1,1,2,18,10,
Ukraine,Czech Republic,15,15,14,12,18,14,21,,
Ukraine,The Netherlands,16,16,13,7,14,12,22,,
Ukraine,Azerbaijan,2,4,3,4,11,4,2,7,10
Ukraine,Hungary,9,10,5,17,6,9,13,2,
