Temperature,DewPoint,Pressure,Date
74.0,53.5,1.0,20100409 13:00
75.4,53.5,1.0,20100409 14:00
76.1,53.3,1.0,20100409 15:00
76.1,53.2,1.0,20100409 16:00
75.5,52.9,1.0,20100409 17:00
73.9,52.5,1.0,20100409 18:00
70.6,53.2,1.0,20100409 19:00
67.5,53.7,1.0,20100409 20:00
65.2,53.7,1.0,20100409 21:00
63.7,53.9,1.0,20100409 22:00
62.5,53.9,1.0,20100409 23:00
62.1,53.5,1.0,20100410 00:00
60.8,53.7,1.0,20100410 01:00
60.1,53.4,1.0,20100410 02:00
59.4,53.2,1.0,20100410 03:00
59.0,53.0,1.0,20100410 04:00
58.6,52.8,1.0,20100410 05:00
58.6,52.5,1.0,20100410 06:00
58.9,53.2,1.0,20100410 07:00
62.0,54.2,1.0,20100410 08:00
65.1,54.3,1.0,20100410 09:00
68.0,54.3,1.0,20100410 10:00
70.4,54.2,1.0,20100410 11:00
72.5,53.8,1.0,20100410 12:00
74.3,53.8,1.0,20100410 13:00
75.7,53.8,1.0,20100410 14:00
76.3,53.6,1.0,20100410 15:00
76.3,53.5,1.0,20100410 16:00
75.6,53.3,1.0,20100410 17:00
74.0,52.9,1.0,20100410 18:00
70.7,53.5,1.0,20100410 19:00
67.7,54.0,1.0,20100410 20:00
65.4,54.0,1.0,20100410 21:00
63.9,54.3,1.0,20100410 22:00
62.7,54.3,1.0,20100410 23:00
62.4,53.9,1.0,20100411 00:00
61.0,54.2,1.0,20100411 01:00
60.4,53.9,1.0,20100411 02:00
59.8,53.7,1.0,20100411 03:00
59.3,53.5,1.0,20100411 04:00
58.9,53.3,1.0,20100411 05:00
58.9,53.1,1.0,20100411 06:00
59.2,53.7,1.0,20100411 07:00
62.2,54.7,1.0,20100411 08:00
65.2,54.7,1.0,20100411 09:00
68.1,54.8,1.0,20100411 10:00
70.6,54.7,1.0,20100411 11:00
72.6,54.3,1.0,20100411 12:00
74.5,54.3,1.0,20100411 13:00
75.9,54.3,1.0,20100411 14:00
76.5,54.1,1.0,20100411 15:00
76.5,54.0,1.0,20100411 16:00
75.8,53.8,1.0,20100411 17:00
74.2,53.5,1.0,20100411 18:00
70.9,54.0,1.0,20100411 19:00
67.9,54.5,1.0,20100411 20:00
65.6,54.4,1.0,20100411 21:00
64.1,54.7,1.0,20100411 22:00
62.9,54.7,1.0,20100411 23:00
62.5,54.4,1.0,20100412 00:00
61.2,54.6,1.0,20100412 01:00
60.6,54.3,1.0,20100412 02:00
60.0,54.1,1.0,20100412 03:00
59.6,53.9,1.0,20100412 04:00
59.2,53.7,1.0,20100412 05:00
59.2,53.5,1.0,20100412 06:00
59.6,54.2,1.0,20100412 07:00
62.5,55.2,1.0,20100412 08:00
65.6,55.3,1.0,20100412 09:00
68.5,55.4,1.0,20100412 10:00
70.9,55.3,1.0,20100412 11:00
73.0,54.8,1.0,20100412 12:00
74.9,54.9,1.0,20100412 13:00
76.3,54.8,1.0,20100412 14:00
76.9,54.6,1.0,20100412 15:00
76.9,54.4,1.0,20100412 16:00
76.1,54.2,1.0,20100412 17:00
74.5,53.9,1.0,20100412 18:00
71.2,54.4,1.0,20100412 19:00
68.3,54.8,1.0,20100412 20:00
66.0,54.8,1.0,20100412 21:00
64.5,55.0,1.0,20100412 22:00
63.3,55.1,1.0,20100412 23:00
62.8,54.7,1.0,20100413 00:00
61.5,54.9,1.0,20100413 01:00
60.8,54.6,1.0,20100413 02:00
60.2,54.4,1.0,20100413 03:00
59.8,54.2,1.0,20100413 04:00
59.4,54.1,1.0,20100413 05:00
59.4,53.9,1.0,20100413 06:00
59.9,54.6,1.0,20100413 07:00
62.8,55.5,1.0,20100413 08:00
65.9,55.7,1.0,20100413 09:00
68.8,55.9,1.0,20100413 10:00
71.2,55.8,1.0,20100413 11:00
73.3,55.2,1.0,20100413 12:00
75.2,55.3,1.0,20100413 13:00
76.6,55.3,1.0,20100413 14:00
77.2,55.0,1.0,20100413 15:00
77.2,54.8,1.0,20100413 16:00
76.4,54.7,1.0,20100413 17:00
74.8,54.4,1.0,20100413 18:00
71.6,54.9,1.0,20100413 19:00
68.5,55.3,1.0,20100413 20:00
66.2,55.3,1.0,20100413 21:00
64.7,55.5,1.0,20100413 22:00
63.5,55.5,1.0,20100413 23:00
63.1,55.2,1.0,20100414 00:00
61.8,55.4,1.0,20100414 01:00
61.1,55.1,1.0,20100414 02:00
60.5,54.9,1.0,20100414 03:00
60.2,54.7,1.0,20100414 04:00
59.7,54.6,1.0,20100414 05:00
59.8,54.3,1.0,20100414 06:00
60.4,55.2,1.0,20100414 07:00
63.3,56.1,1.0,20100414 08:00
66.4,56.3,1.0,20100414 09:00
69.3,56.4,1.0,20100414 10:00
71.8,56.3,1.0,20100414 11:00
73.8,55.8,1.0,20100414 12:00
75.7,55.9,1.0,20100414 13:00
77.1,55.8,1.0,20100414 14:00
77.7,55.5,1.0,20100414 15:00
77.6,55.3,1.0,20100414 16:00
76.8,55.3,1.0,20100414 17:00
75.2,54.9,1.0,20100414 18:00
72.0,55.4,1.0,20100414 19:00
68.9,55.8,1.0,20100414 20:00
66.6,55.8,1.0,20100414 21:00
65.1,56.0,1.0,20100414 22:00
63.9,56.0,1.0,20100414 23:00
63.5,55.6,1.0,20100415 00:00
62.1,55.8,1.0,20100415 01:00
61.5,55.6,1.0,20100415 02:00
60.9,55.4,1.0,20100415 03:00
60.6,55.2,1.0,20100415 04:00
60.1,55.0,1.0,20100415 05:00
60.2,54.7,1.0,20100415 06:00
60.8,55.6,1.0,20100415 07:00
63.8,56.5,1.0,20100415 08:00
66.9,56.7,1.0,20100415 09:00
69.7,56.8,1.0,20100415 10:00
72.2,56.7,1.0,20100415 11:00
74.3,56.3,1.0,20100415 12:00
76.1,56.3,1.0,20100415 13:00
77.4,56.2,1.0,20100415 14:00
78.0,55.9,1.0,20100415 15:00
77.9,55.7,1.0,20100415 16:00
77.1,55.7,1.0,20100415 17:00
75.5,55.3,1.0,20100415 18:00
72.4,55.8,1.0,20100415 19:00
69.3,56.2,1.0,20100415 20:00
66.9,56.2,1.0,20100415 21:00
65.4,56.4,1.0,20100415 22:00
64.3,56.5,1.0,20100415 23:00
63.8,56.2,1.0,20100416 00:00
62.5,56.4,1.0,20100416 01:00
61.9,56.2,1.0,20100416 02:00
61.3,56.1,1.0,20100416 03:00
61.0,55.8,1.0,20100416 04:00
60.6,55.7,1.0,20100416 05:00
60.7,55.4,1.0,20100416 06:00
61.3,56.3,1.0,20100416 07:00
64.2,57.2,1.0,20100416 08:00
67.3,57.2,1.0,20100416 09:00
70.1,57.4,1.0,20100416 10:00
72.6,57.2,1.0,20100416 11:00
74.7,56.7,1.0,20100416 12:00
76.4,56.7,1.0,20100416 13:00
77.8,56.6,1.0,20100416 14:00
78.3,56.3,1.0,20100416 15:00
78.2,56.1,1.0,20100416 16:00
77.5,56.0,1.0,20100416 17:00
75.9,55.7,1.0,20100416 18:00
72.8,56.1,1.0,20100416 19:00
69.6,56.6,1.0,20100416 20:00
67.4,56.6,1.0,20100416 21:00
65.9,56.8,1.0,20100416 22:00
64.9,57.0,1.0,20100416 23:00
64.4,56.7,1.0,20100417 00:00
63.0,56.9,1.0,20100417 01:00
62.4,56.7,1.0,20100417 02:00
61.9,56.5,1.0,20100417 03:00
61.5,56.4,1.0,20100417 04:00
61.1,56.3,1.0,20100417 05:00
61.1,55.9,1.0,20100417 06:00
61.8,56.8,1.0,20100417 07:00
64.6,57.5,1.0,20100417 08:00
67.6,57.6,1.0,20100417 09:00
70.4,57.6,1.0,20100417 10:00
72.9,57.5,1.0,20100417 11:00
75.0,56.9,1.0,20100417 12:00
76.8,56.9,1.0,20100417 13:00
78.1,56.8,1.0,20100417 14:00
78.6,56.6,1.0,20100417 15:00
78.5,56.3,1.0,20100417 16:00
77.9,56.4,1.0,20100417 17:00
76.3,56.0,1.0,20100417 18:00
73.2,56.5,1.0,20100417 19:00
70.0,56.9,1.0,20100417 20:00
67.7,56.8,1.0,20100417 21:00
66.2,57.1,1.0,20100417 22:00
65.1,57.3,1.0,20100417 23:00
64.5,57.1,1.0,20100418 00:00
63.2,57.2,1.0,20100418 01:00
62.7,57.0,1.0,20100418 02:00
62.1,56.9,1.0,20100418 03:00
61.8,56.6,1.0,20100418 04:00
61.3,56.5,1.0,20100418 05:00
61.2,56.0,1.0,20100418 06:00
62.1,57.0,1.0,20100418 07:00
64.9,57.7,1.0,20100418 08:00
67.9,57.9,1.0,20100418 09:00
70.7,57.8,1.0,20100418 10:00
73.2,57.7,1.0,20100418 11:00
75.3,57.1,1.0,20100418 12:00
77.1,57.2,1.0,20100418 13:00
78.4,57.1,1.0,20100418 14:00
79.0,56.9,1.0,20100418 15:00
78.9,56.6,1.0,20100418 16:00
78.3,56.8,1.0,20100418 17:00
76.7,56.4,1.0,20100418 18:00
73.5,56.9,1.0,20100418 19:00
70.3,57.3,1.0,20100418 20:00
68.1,57.3,1.0,20100418 21:00
66.5,57.5,1.0,20100418 22:00
65.3,57.8,1.0,20100418 23:00
64.8,57.5,1.0,20100419 00:00
63.5,57.7,1.0,20100419 01:00
62.8,57.5,1.0,20100419 02:00
62.3,57.3,1.0,20100419 03:00
62.0,57.1,1.0,20100419 04:00
61.6,56.9,1.0,20100419 05:00
61.5,56.5,1.0,20100419 06:00
62.4,57.5,1.0,20100419 07:00
65.2,58.2,1.0,20100419 08:00
68.4,58.4,1.0,20100419 09:00
71.2,58.3,1.0,20100419 10:00
73.7,58.1,1.0,20100419 11:00
75.8,57.6,1.0,20100419 12:00
77.5,57.7,1.0,20100419 13:00
78.8,57.6,1.0,20100419 14:00
79.4,57.3,1.0,20100419 15:00
79.4,57.1,1.0,20100419 16:00
78.8,57.2,1.0,20100419 17:00
77.2,56.8,1.0,20100419 18:00
74.0,57.4,1.0,20100419 19:00
70.7,57.8,1.0,20100419 20:00
68.5,57.8,1.0,20100419 21:00
66.8,58.0,1.0,20100419 22:00
65.6,58.2,1.0,20100419 23:00
65.0,57.9,1.0,20100420 00:00
63.8,58.0,1.0,20100420 01:00
63.1,57.8,1.0,20100420 02:00
62.6,57.6,1.0,20100420 03:00
62.2,57.4,1.0,20100420 04:00
61.8,57.2,1.0,20100420 05:00
61.8,56.8,1.0,20100420 06:00
62.7,57.8,1.0,20100420 07:00
65.5,58.5,1.0,20100420 08:00
68.6,58.6,1.0,20100420 09:00
71.5,58.4,1.0,20100420 10:00
73.9,58.3,1.0,20100420 11:00
76.0,57.7,1.0,20100420 12:00
77.7,57.8,1.0,20100420 13:00
79.0,57.7,1.0,20100420 14:00
79.6,57.5,1.0,20100420 15:00
79.6,57.2,1.0,20100420 16:00
79.0,57.3,1.0,20100420 17:00
77.4,57.0,1.0,20100420 18:00
74.3,57.5,1.0,20100420 19:00
71.0,57.9,1.0,20100420 20:00
68.8,58.0,1.0,20100420 21:00
67.1,58.1,1.0,20100420 22:00
65.9,58.3,1.0,20100420 23:00
65.3,58.0,1.0,20100421 00:00
64.0,58.2,1.0,20100421 01:00
63.4,58.0,1.0,20100421 02:00
62.8,57.8,1.0,20100421 03:00
62.4,57.6,1.0,20100421 04:00
62.0,57.4,1.0,20100421 05:00
61.9,57.0,1.0,20100421 06:00
62.9,58.1,1.0,20100421 07:00
65.7,58.7,1.0,20100421 08:00
68.8,58.8,1.0,20100421 09:00
71.6,58.6,1.0,20100421 10:00
74.1,58.5,1.0,20100421 11:00
76.2,57.9,1.0,20100421 12:00
77.9,58.1,1.0,20100421 13:00
79.2,57.9,1.0,20100421 14:00
79.8,57.8,1.0,20100421 15:00
79.8,57.6,1.0,20100421 16:00
79.2,57.7,1.0,20100421 17:00
77.7,57.3,1.0,20100421 18:00
74.5,57.9,1.0,20100421 19:00
71.3,58.4,1.0,20100421 20:00
69.2,58.4,1.0,20100421 21:00
67.6,58.6,1.0,20100421 22:00
66.3,58.8,1.0,20100421 23:00
65.6,58.6,1.0,20100422 00:00
64.4,58.7,1.0,20100422 01:00
63.7,58.5,1.0,20100422 02:00
63.2,58.3,1.0,20100422 03:00
62.9,58.2,1.0,20100422 04:00
62.4,58.0,1.0,20100422 05:00
62.4,57.6,1.0,20100422 06:00
63.4,58.6,1.0,20100422 07:00
66.1,59.2,1.0,20100422 08:00
69.2,59.5,1.0,20100422 09:00
72.0,59.2,1.0,20100422 10:00
74.4,59.2,1.0,20100422 11:00
76.5,58.6,1.0,20100422 12:00
78.2,58.8,1.0,20100422 13:00
79.5,58.7,1.0,20100422 14:00
80.1,58.5,1.0,20100422 15:00
80.2,58.3,1.0,20100422 16:00
79.6,58.4,1.0,20100422 17:00
78.1,58.0,1.0,20100422 18:00
74.9,58.6,1.0,20100422 19:00
71.7,59.0,1.0,20100422 20:00
69.6,59.0,1.0,20100422 21:00
68.1,59.2,1.0,20100422 22:00
66.8,59.4,1.0,20100422 23:00
66.1,59.2,1.0,20100423 00:00
64.9,59.4,1.0,20100423 01:00
64.3,59.2,1.0,20100423 02:00
63.8,59.0,1.0,20100423 03:00
63.5,58.9,1.0,20100423 04:00
63.0,58.7,1.0,20100423 05:00
62.8,58.2,1.0,20100423 06:00
63.8,59.2,1.0,20100423 07:00
66.4,59.8,1.0,20100423 08:00
69.5,59.9,1.0,20100423 09:00
72.1,59.7,1.0,20100423 10:00
74.5,59.6,1.0,20100423 11:00
76.7,59.1,1.0,20100423 12:00
78.4,59.3,1.0,20100423 13:00
79.6,59.2,1.0,20100423 14:00
80.3,59.1,1.0,20100423 15:00
80.3,58.8,1.0,20100423 16:00
79.8,58.9,1.0,20100423 17:00
78.3,58.5,1.0,20100423 18:00
75.2,59.1,1.0,20100423 19:00
71.9,59.5,1.0,20100423 20:00
69.9,59.5,1.0,20100423 21:00
68.4,59.6,1.0,20100423 22:00
67.2,59.9,1.0,20100423 23:00
66.4,59.7,1.0,20100424 00:00
65.3,59.8,1.0,20100424 01:00
64.7,59.6,1.0,20100424 02:00
64.1,59.4,1.0,20100424 03:00
63.8,59.3,1.0,20100424 04:00
63.3,59.1,1.0,20100424 05:00
63.2,58.6,1.0,20100424 06:00
64.3,59.7,1.0,20100424 07:00
66.7,60.1,1.0,20100424 08:00
69.7,60.3,1.0,20100424 09:00
72.2,60.1,1.0,20100424 10:00
74.6,60.0,1.0,20100424 11:00
76.7,59.5,1.0,20100424 12:00
78.4,59.8,1.0,20100424 13:00
79.7,59.7,1.0,20100424 14:00
80.4,59.6,1.0,20100424 15:00
80.4,59.3,1.0,20100424 16:00
80.0,59.3,1.0,20100424 17:00
78.4,58.9,1.0,20100424 18:00
75.3,59.4,1.0,20100424 19:00
72.1,59.9,1.0,20100424 20:00
70.1,59.9,1.0,20100424 21:00
68.6,59.9,1.0,20100424 22:00
67.3,60.1,1.0,20100424 23:00
66.6,59.9,1.0,20100425 00:00
65.5,60.1,1.0,20100425 01:00
64.9,59.9,1.0,20100425 02:00
64.4,59.7,1.0,20100425 03:00
64.1,59.5,1.0,20100425 04:00
63.6,59.4,1.0,20100425 05:00
63.5,58.8,1.0,20100425 06:00
64.5,59.9,1.0,20100425 07:00
67.0,60.4,1.0,20100425 08:00
69.9,60.5,1.0,20100425 09:00
72.4,60.3,1.0,20100425 10:00
74.8,60.2,1.0,20100425 11:00
76.9,59.8,1.0,20100425 12:00
78.5,60.0,1.0,20100425 13:00
79.8,59.9,1.0,20100425 14:00
80.5,59.8,1.0,20100425 15:00
80.5,59.6,1.0,20100425 16:00
80.1,59.5,1.0,20100425 17:00
78.5,59.1,1.0,20100425 18:00
75.4,59.6,1.0,20100425 19:00
72.2,60.1,1.0,20100425 20:00
70.2,60.1,1.0,20100425 21:00
68.8,60.2,1.0,20100425 22:00
67.6,60.4,1.0,20100425 23:00
66.8,60.1,1.0,20100426 00:00
65.7,60.2,1.0,20100426 01:00
65.0,60.0,1.0,20100426 02:00
64.5,59.8,1.0,20100426 03:00
64.2,59.7,1.0,20100426 04:00
63.7,59.5,1.0,20100426 05:00
63.6,59.0,1.0,20100426 06:00
64.6,60.0,1.0,20100426 07:00
67.1,60.4,1.0,20100426 08:00
70.0,60.6,1.0,20100426 09:00
72.5,60.3,1.0,20100426 10:00
74.9,60.2,1.0,20100426 11:00
77.0,59.7,1.0,20100426 12:00
78.6,60.0,1.0,20100426 13:00
79.9,59.9,1.0,20100426 14:00
80.6,59.8,1.0,20100426 15:00
80.7,59.5,1.0,20100426 16:00
80.3,59.5,1.0,20100426 17:00
78.7,59.1,1.0,20100426 18:00
75.7,59.6,1.0,20100426 19:00
72.4,60.1,1.0,20100426 20:00
70.4,60.1,1.0,20100426 21:00
68.9,60.2,1.0,20100426 22:00
67.7,60.4,1.0,20100426 23:00
66.9,60.0,1.0,20100427 00:00
65.7,60.2,1.0,20100427 01:00
65.0,59.9,1.0,20100427 02:00
64.5,59.8,1.0,20100427 03:00
64.2,59.6,1.0,20100427 04:00
63.7,59.4,1.0,20100427 05:00
63.6,58.9,1.0,20100427 06:00
64.7,59.9,1.0,20100427 07:00
67.3,60.3,1.0,20100427 08:00
70.2,60.5,1.0,20100427 09:00
72.7,60.3,1.0,20100427 10:00
75.0,60.2,1.0,20100427 11:00
77.1,59.7,1.0,20100427 12:00
78.7,60.0,1.0,20100427 13:00
80.0,59.9,1.0,20100427 14:00
80.7,59.8,1.0,20100427 15:00
80.8,59.5,1.0,20100427 16:00
80.4,59.5,1.0,20100427 17:00
78.9,59.1,1.0,20100427 18:00
75.8,59.8,1.0,20100427 19:00
72.5,60.2,1.0,20100427 20:00
70.5,60.2,1.0,20100427 21:00
69.0,60.3,1.0,20100427 22:00
67.8,60.5,1.0,20100427 23:00
67.0,60.2,1.0,20100428 00:00
65.8,60.3,1.0,20100428 01:00
65.1,60.0,1.0,20100428 02:00
64.6,59.8,1.0,20100428 03:00
64.2,59.7,1.0,20100428 04:00
63.8,59.5,1.0,20100428 05:00
63.7,59.0,1.0,20100428 06:00
64.9,60.1,1.0,20100428 07:00
67.5,60.6,1.0,20100428 08:00
70.5,60.8,1.0,20100428 09:00
73.0,60.7,1.0,20100428 10:00
75.3,60.5,1.0,20100428 11:00
77.3,60.1,1.0,20100428 12:00
79.0,60.4,1.0,20100428 13:00
80.3,60.3,1.0,20100428 14:00
81.0,60.1,1.0,20100428 15:00
81.0,59.9,1.0,20100428 16:00
80.7,59.8,1.0,20100428 17:00
79.2,59.4,1.0,20100428 18:00
76.0,60.0,1.0,20100428 19:00
72.8,60.4,1.0,20100428 20:00
70.8,60.6,1.0,20100428 21:00
69.3,60.6,1.0,20100428 22:00
68.1,60.8,1.0,20100428 23:00
67.2,60.5,1.0,20100429 00:00
66.0,60.6,1.0,20100429 01:00
65.3,60.3,1.0,20100429 02:00
64.8,60.1,1.0,20100429 03:00
64.4,60.1,1.0,20100429 04:00
64.1,59.9,1.0,20100429 05:00
64.0,59.4,1.0,20100429 06:00
65.1,60.4,1.0,20100429 07:00
67.7,60.9,1.0,20100429 08:00
70.7,61.1,1.0,20100429 09:00
73.2,61.0,1.0,20100429 10:00
75.5,60.9,1.0,20100429 11:00
77.6,60.4,1.0,20100429 12:00
79.2,60.7,1.0,20100429 13:00
80.5,60.6,1.0,20100429 14:00
81.3,60.4,1.0,20100429 15:00
81.3,60.2,1.0,20100429 16:00
81.0,60.0,1.0,20100429 17:00
79.4,59.6,1.0,20100429 18:00
76.3,60.3,1.0,20100429 19:00
73.1,60.7,1.0,20100429 20:00
71.1,60.8,1.0,20100429 21:00
69.5,60.8,1.0,20100429 22:00
68.3,61.0,1.0,20100429 23:00
67.4,60.7,1.0,20100430 00:00
66.2,60.9,1.0,20100430 01:00
65.5,60.5,1.0,20100430 02:00
64.9,60.3,1.0,20100430 03:00
64.6,60.3,1.0,20100430 04:00
64.3,60.1,1.0,20100430 05:00
64.1,59.6,1.0,20100430 06:00
65.4,60.7,1.0,20100430 07:00
68.0,61.2,1.0,20100430 08:00
70.9,61.4,1.0,20100430 09:00
73.4,61.3,1.0,20100430 10:00
75.8,61.2,1.0,20100430 11:00
77.8,60.7,1.0,20100430 12:00
79.4,61.0,1.0,20100430 13:00
80.7,60.9,1.0,20100430 14:00
81.6,60.8,1.0,20100430 15:00
81.7,60.5,1.0,20100430 16:00
81.3,60.3,1.0,20100430 17:00
79.7,59.8,1.0,20100430 18:00
76.5,60.5,1.0,20100430 19:00
73.3,60.9,1.0,20100430 20:00
71.3,61.0,1.0,20100430 21:00
69.7,61.0,1.0,20100430 22:00
68.5,61.3,1.0,20100430 23:00
67.6,60.9,1.0,20100501 00:00
66.4,61.0,1.0,20100501 01:00
65.6,60.6,1.0,20100501 02:00
65.0,60.4,1.0,20100501 03:00
64.7,60.4,1.0,20100501 04:00
64.4,60.2,1.0,20100501 05:00
64.2,59.7,1.0,20100501 06:00
65.5,60.9,1.0,20100501 07:00
68.1,61.4,1.0,20100501 08:00
71.1,61.6,1.0,20100501 09:00
73.6,61.5,1.0,20100501 10:00
75.9,61.4,1.0,20100501 11:00
77.9,61.0,1.0,20100501 12:00
79.5,61.2,1.0,20100501 13:00
80.9,61.2,1.0,20100501 14:00
81.6,61.1,1.0,20100501 15:00
81.8,60.9,1.0,20100501 16:00
81.4,60.6,1.0,20100501 17:00
79.7,60.2,1.0,20100501 18:00
76.6,60.9,1.0,20100501 19:00
73.4,61.2,1.0,20100501 20:00
71.4,61.3,1.0,20100501 21:00
69.9,61.3,1.0,20100501 22:00
68.6,61.5,1.0,20100501 23:00
67.8,61.2,1.0,20100502 00:00
66.6,61.2,1.0,20100502 01:00
65.8,60.9,1.0,20100502 02:00
65.3,60.7,1.0,20100502 03:00
65.0,60.7,1.0,20100502 04:00
64.6,60.5,1.0,20100502 05:00
64.5,60.0,1.0,20100502 06:00
65.8,61.2,1.0,20100502 07:00
68.4,61.7,1.0,20100502 08:00
71.3,61.9,1.0,20100502 09:00
73.8,61.9,1.0,20100502 10:00
76.2,61.8,1.0,20100502 11:00
78.2,61.5,1.0,20100502 12:00
79.8,61.8,1.0,20100502 13:00
81.2,61.8,1.0,20100502 14:00
82.0,61.6,1.0,20100502 15:00
82.1,61.4,1.0,20100502 16:00
81.7,61.1,1.0,20100502 17:00
80.0,60.7,1.0,20100502 18:00
76.9,61.4,1.0,20100502 19:00
73.7,61.6,1.0,20100502 20:00
71.8,61.7,1.0,20100502 21:00
70.2,61.6,1.0,20100502 22:00
68.9,61.8,1.0,20100502 23:00
68.1,61.4,1.0,20100503 00:00
66.9,61.5,1.0,20100503 01:00
66.1,61.1,1.0,20100503 02:00
65.5,60.9,1.0,20100503 03:00
65.2,61.0,1.0,20100503 04:00
64.9,60.8,1.0,20100503 05:00
64.9,60.5,1.0,20100503 06:00
66.2,61.6,1.0,20100503 07:00
68.7,62.1,1.0,20100503 08:00
71.5,62.2,1.0,20100503 09:00
74.0,62.3,1.0,20100503 10:00
76.3,62.2,1.0,20100503 11:00
78.4,61.9,1.0,20100503 12:00
80.0,62.1,1.0,20100503 13:00
81.4,62.0,1.0,20100503 14:00
82.2,61.9,1.0,20100503 15:00
82.2,61.7,1.0,20100503 16:00
81.9,61.5,1.0,20100503 17:00
80.3,61.1,1.0,20100503 18:00
77.2,61.7,1.0,20100503 19:00
74.1,61.9,1.0,20100503 20:00
72.1,62.1,1.0,20100503 21:00
70.6,62.0,1.0,20100503 22:00
69.2,62.1,1.0,20100503 23:00
68.4,61.7,1.0,20100504 00:00
67.2,61.8,1.0,20100504 01:00
66.4,61.4,1.0,20100504 02:00
65.9,61.2,1.0,20100504 03:00
65.6,61.3,1.0,20100504 04:00
65.2,61.2,1.0,20100504 05:00
65.2,60.8,1.0,20100504 06:00
66.5,61.9,1.0,20100504 07:00
69.0,62.4,1.0,20100504 08:00
71.8,62.5,1.0,20100504 09:00
74.3,62.5,1.0,20100504 10:00
76.6,62.4,1.0,20100504 11:00
78.6,62.1,1.0,20100504 12:00
80.1,62.3,1.0,20100504 13:00
81.5,62.3,1.0,20100504 14:00
82.3,62.2,1.0,20100504 15:00
82.3,62.0,1.0,20100504 16:00
81.9,61.8,1.0,20100504 17:00
80.3,61.4,1.0,20100504 18:00
77.3,62.0,1.0,20100504 19:00
74.2,62.2,1.0,20100504 20:00
72.3,62.3,1.0,20100504 21:00
70.8,62.2,1.0,20100504 22:00
69.5,62.4,1.0,20100504 23:00
68.8,62.0,1.0,20100505 00:00
67.6,62.2,1.0,20100505 01:00
66.8,61.8,1.0,20100505 02:00
66.3,61.6,1.0,20100505 03:00
66.0,61.7,1.0,20100505 04:00
65.7,61.6,1.0,20100505 05:00
65.7,61.3,1.0,20100505 06:00
66.9,62.5,1.0,20100505 07:00
69.4,62.9,1.0,20100505 08:00
72.1,63.0,1.0,20100505 09:00
74.6,63.0,1.0,20100505 10:00
76.9,62.9,1.0,20100505 11:00
78.8,62.7,1.0,20100505 12:00
80.4,62.9,1.0,20100505 13:00
81.8,62.8,1.0,20100505 14:00
82.5,62.6,1.0,20100505 15:00
82.5,62.5,1.0,20100505 16:00
82.1,62.4,1.0,20100505 17:00
80.5,61.9,1.0,20100505 18:00
77.6,62.6,1.0,20100505 19:00
74.6,62.7,1.0,20100505 20:00
72.7,62.8,1.0,20100505 21:00
71.0,62.7,1.0,20100505 22:00
69.8,62.9,1.0,20100505 23:00
69.1,62.5,1.0,20100506 00:00
67.9,62.6,1.0,20100506 01:00
67.1,62.3,1.0,20100506 02:00
66.7,62.1,1.0,20100506 03:00
66.4,62.2,1.0,20100506 04:00
66.1,62.0,1.0,20100506 05:00
66.2,61.8,1.0,20100506 06:00
67.3,62.8,1.0,20100506 07:00
69.7,63.2,1.0,20100506 08:00
72.5,63.4,1.0,20100506 09:00
74.9,63.4,1.0,20100506 10:00
77.1,63.3,1.0,20100506 11:00
79.1,63.1,1.0,20100506 12:00
80.6,63.2,1.0,20100506 13:00
81.9,63.1,1.0,20100506 14:00
82.7,62.9,1.0,20100506 15:00
82.6,62.7,1.0,20100506 16:00
82.2,62.6,1.0,20100506 17:00
80.6,62.2,1.0,20100506 18:00
77.7,62.8,1.0,20100506 19:00
74.7,62.9,1.0,20100506 20:00
72.8,63.0,1.0,20100506 21:00
71.2,62.9,1.0,20100506 22:00
70.0,63.1,1.0,20100506 23:00
69.2,62.7,1.0,20100507 00:00
68.1,62.8,1.0,20100507 01:00
67.3,62.5,1.0,20100507 02:00
66.8,62.3,1.0,20100507 03:00
66.6,62.4,1.0,20100507 04:00
66.3,62.2,1.0,20100507 05:00
66.4,62.0,1.0,20100507 06:00
67.5,62.9,1.0,20100507 07:00
69.9,63.4,1.0,20100507 08:00
72.6,63.5,1.0,20100507 09:00
75.1,63.6,1.0,20100507 10:00
77.3,63.5,1.0,20100507 11:00
79.2,63.3,1.0,20100507 12:00
80.7,63.3,1.0,20100507 13:00
82.0,63.2,1.0,20100507 14:00
82.8,63.0,1.0,20100507 15:00
82.6,62.9,1.0,20100507 16:00
82.3,62.8,1.0,20100507 17:00
80.6,62.4,1.0,20100507 18:00
77.7,63.0,1.0,20100507 19:00
74.8,63.2,1.0,20100507 20:00
72.9,63.3,1.0,20100507 21:00
71.3,63.1,1.0,20100507 22:00
70.1,63.3,1.0,20100507 23:00
69.3,62.9,1.0,20100508 00:00
68.2,63.0,1.0,20100508 01:00
67.4,62.7,1.0,20100508 02:00
67.0,62.5,1.0,20100508 03:00
66.6,62.5,1.0,20100508 04:00
66.4,62.3,1.0,20100508 05:00
66.5,62.1,1.0,20100508 06:00
67.7,63.1,1.0,20100508 07:00
70.2,63.6,1.0,20100508 08:00
72.9,63.7,1.0,20100508 09:00
75.3,63.7,1.0,20100508 10:00
77.5,63.6,1.0,20100508 11:00
79.5,63.4,1.0,20100508 12:00
81.0,63.5,1.0,20100508 13:00
82.3,63.4,1.0,20100508 14:00
83.0,63.2,1.0,20100508 15:00
