mpg,cyl,displ,hp,weight,accel,yr,origin,name,color,size,marker
15.0,8,350.0,165,3693,11.5,70,US,buick skylark 320,green,37.884025,o
14.0,8,340.0,160,3609,8.0,70,US,plymouth 'cuda 340,green,36.18022499999999,o
15.5,8,400.0,190,4325,12.2,77,US,chrysler cordoba,green,51.96006944444444,o
17.5,6,258.0,95,3193,17.8,76,US,amc pacer d/l,red,28.320136111111108,o
12.0,8,350.0,180,4499,12.5,73,US,oldsmobile vista cruiser,green,56.225002777777775,o
29.0,4,97.0,78,1940,14.5,77,Europe,volkswagen rabbit custom,blue,10.454444444444444,s
15.5,8,304.0,120,3962,13.9,76,US,amc matador,green,43.60401111111111,o
35.7,4,98.0,80,1915,14.4,79,US,dodge colt hatchback custom,blue,10.186736111111113,o
26.0,4,97.0,75,2265,18.2,77,Asia,toyota corolla liftback,blue,14.250625,x
30.0,4,98.0,68,2155,16.5,78,US,chevrolet chevette,blue,12.900069444444446,o
33.8,4,97.0,67,2145,18.0,80,Asia,subaru dl,blue,12.780625,x
18.0,6,225.0,95,3785,19.0,75,US,plymouth fury,red,39.79506944444445,o
13.0,8,302.0,140,4294,16.0,72,US,ford gran torino (sw),green,51.21787777777777,o
20.0,8,262.0,110,3221,13.5,75,US,chevrolet monza 2+2,green,28.819002777777776,o
32.4,4,107.0,72,2290,17.0,80,Asia,honda accord,blue,14.566944444444445,x
16.0,8,304.0,150,3433,12.0,70,US,amc rebel sst,green,32.73746944444444,o
27.5,4,134.0,95,2560,14.2,78,Asia,toyota corona,blue,18.204444444444444,x
23.0,4,97.0,54,2254,23.5,72,Europe,volkswagen type 3,blue,14.112544444444445,s
14.0,8,351.0,153,4129,13.0,72,US,ford galaxie 500,green,47.35733611111111,o
17.0,8,305.0,130,3840,15.4,79,US,chevrolet caprice classic,green,40.96000000000001,o
16.0,8,400.0,170,4668,11.5,75,US,pontiac catalina,green,60.528400000000005,o
23.0,4,122.0,86,2220,14.0,71,US,mercury capri 2000,blue,13.690000000000001,o
24.0,4,119.0,97,2545,17.0,75,Asia,datsun 710,blue,17.99173611111111,x
27.0,4,151.0,90,2735,18.0,82,US,pontiac phoenix,blue,20.77840277777778,o
15.0,8,350.0,145,4082,13.0,73,US,chevrolet monte carlo s,green,46.28534444444445,o
27.0,4,140.0,86,2790,15.6,82,US,ford mustang gl,blue,21.622500000000002,o
28.0,4,120.0,79,2625,18.6,82,US,ford ranger,blue,19.140625,o
14.0,8,350.0,165,4209,12.0,71,US,chevrolet impala,green,49.210224999999994,o
33.5,4,98.0,83,2075,15.9,77,US,dodge colt m/m,blue,11.960069444444445,o
39.0,4,86.0,64,1875,16.4,81,US,plymouth champ,blue,9.765625,o
24.0,4,140.0,92,2865,16.4,82,US,ford fairmont futura,blue,22.800625000000004,o
26.5,4,140.0,72,2565,13.6,76,US,ford pinto,blue,18.275625,o
19.4,8,318.0,140,3735,13.2,78,US,dodge diplomat,green,38.75062499999999,o
15.0,8,318.0,150,4135,13.5,72,US,plymouth fury iii,green,47.49506944444445,o
25.5,4,122.0,96,2300,15.5,77,US,plymouth arrow gs,blue,14.694444444444446,o
14.0,8,304.0,150,3672,11.5,73,US,amc matador,green,37.4544,o
27.4,4,121.0,80,2670,15.0,79,US,amc spirit dl,blue,19.802500000000002,o
13.0,8,302.0,130,3870,15.0,76,US,ford f108,green,41.6025,o
19.0,6,225.0,100,3630,17.7,77,US,plymouth volare custom,red,36.6025,o
17.0,6,163.0,125,3140,13.6,78,Europe,volvo 264gl,red,27.387777777777778,s
28.0,4,116.0,90,2123,14.0,71,Europe,opel 1900,blue,12.519802777777779,s
22.0,4,108.0,94,2379,16.5,73,Asia,datsun 610,blue,15.721224999999999,x
30.0,4,88.0,76,2065,14.5,71,Europe,fiat 124b,blue,11.845069444444446,s
18.0,3,70.0,90,2124,13.5,73,Asia,maxda rx3,black,12.531600000000001,x
14.0,8,318.0,150,4077,14.0,72,US,plymouth satellite custom (sw),green,46.172025,o
22.0,6,146.0,97,2815,14.5,77,Asia,datsun 810,red,22.01173611111111,x
23.8,4,151.0,85,2855,17.6,78,US,oldsmobile starfire sx,blue,22.641736111111115,o
24.0,6,200.0,81,3012,17.6,76,US,ford maverick,red,25.200399999999995,o
26.0,4,97.0,78,2300,14.5,74,Europe,opel manta,blue,14.694444444444446,s
26.0,4,97.0,46,1950,21.0,73,Europe,volkswagen super beetle,blue,10.5625,s
30.0,4,135.0,84,2385,12.9,81,US,plymouth reliant,blue,15.800625,o
29.0,4,90.0,70,1937,14.2,76,Europe,vw rabbit,blue,10.422136111111111,s
14.0,8,351.0,153,4154,13.5,71,US,ford galaxie 500,green,47.93254444444444,o
25.4,6,168.0,116,2900,12.6,81,Asia,toyota cressida,red,23.361111111111107,x
19.0,6,232.0,100,2901,16.0,74,US,amc hornet,red,23.377225,o
12.0,8,400.0,167,4906,12.5,73,US,ford country,green,66.85787777777776,o
20.0,4,97.0,88,2279,19.0,73,Asia,toyota carina,blue,14.427336111111112,x
27.0,4,97.0,88,2130,14.5,71,Asia,datsun pl510,blue,12.6025,x
22.3,4,140.0,88,2890,17.3,79,US,ford fairmont 4,blue,23.200277777777774,o
10.0,8,307.0,200,4376,15.0,70,US,chevy c20,green,53.19271111111111,o
19.2,8,267.0,125,3605,15.0,79,US,chevrolet malibu classic (sw),green,36.10006944444445,o
26.0,4,156.0,92,2585,14.5,82,US,chrysler lebaron medallion,blue,18.561736111111113,o
16.0,6,258.0,110,3632,18.0,74,US,amc matador,red,36.64284444444445,o
37.3,4,91.0,69,2130,14.7,79,Europe,fiat strada custom,blue,12.6025,s
26.0,4,79.0,67,1963,15.5,74,Europe,volkswagen dasher,blue,10.703802777777776,s
20.2,6,232.0,90,3265,18.2,79,US,amc concord dl 6,red,29.61173611111111,o
13.0,8,318.0,150,3755,14.0,76,US,dodge d100,green,39.16673611111111,o
21.0,6,199.0,90,2648,15.0,70,US,amc gremlin,red,19.47751111111111,o
25.0,4,90.0,71,2223,16.5,75,Europe,volkswagen dasher,blue,13.727025000000001,s
20.5,6,231.0,105,3425,16.9,77,US,buick skylark,red,32.58506944444444,o
37.7,4,89.0,62,2050,17.3,81,Asia,toyota tercel,blue,11.67361111111111,x
36.0,4,120.0,88,2160,14.5,82,Asia,nissan stanza xe,blue,12.96,x
20.0,6,156.0,122,2807,13.5,73,Asia,toyota mark ii,red,21.88680277777778,x
37.0,4,85.0,65,1975,19.4,81,Asia,datsun 210 mpg,blue,10.835069444444443,x
18.0,6,250.0,88,3021,16.5,73,US,ford maverick,red,25.351225000000003,o
27.0,4,151.0,90,2950,17.3,82,US,chevrolet camaro,blue,24.173611111111114,o
29.5,4,98.0,68,2135,16.6,78,Asia,honda accord lx,blue,12.661736111111109,x
17.5,6,250.0,110,3520,16.4,77,US,chevrolet concours,red,34.41777777777777,o
25.1,4,140.0,88,2720,15.4,78,US,ford fairmont (man),blue,20.55111111111111,o
